Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUHD ZAHID MD ARIP,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI MOHD NAJIB BIN TUN ABD RAZAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABD KADIR BIN SAINUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KAPT (B) AHIATUDIN BIN DAUD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
29,085/21/13,SMK PERAMU JAYA,4.0,533,73,241,0,218,532,1,0,KELAT RENDANG ,UNDI BIASA
30,085/21/14,SK LANGGAR,1.0,293,31,199,0,57,287,6,0,KAMPUNG LANGGAR ,UNDI BIASA
30,085/21/14,SK LANGGAR,2.0,370,42,194,0,133,369,1,0,KAMPUNG LANGGAR ,UNDI BIASA
31,085/21/15,SK PAHANG TUA,1.0,481,40,321,0,112,473,8,0,PAHANG TUA ,UNDI BIASA
32,085/21/16,SK PEKAN JAYA,1.0,311,21,200,0,86,307,4,0,SHAHBANDAR ,UNDI BIASA
32,085/21/16,SK PEKAN JAYA,2.0,390,41,206,0,141,388,2,0,SHAHBANDAR ,UNDI BIASA
32,085/21/16,SK PEKAN JAYA,3.0,355,59,173,1,121,354,1,0,SHAHBANDAR ,UNDI BIASA
32,085/21/16,SK PEKAN JAYA,4.0,383,62,185,0,136,383,0,0,SHAHBANDAR ,UNDI BIASA
33,085/22/01,SK SERAMBI,1.0,415,51,264,0,98,413,2,0,SERAMBI ,UNDI BIASA
34,085/22/02,SK PADANG RUMBIA,1.0,315,30,153,0,131,314,1,0,PADANG RUMBIA ,UNDI BIASA
35,085/22/03,SK TEMAI,1.0,292,19,211,0,53,283,9,0,TEMAI ,UNDI BIASA
35,085/22/03,SK TEMAI,2.0,468,37,293,2,132,464,4,0,TEMAI ,UNDI BIASA
36,085/22/04,SK KAMPUNG ACHEH,1.0,236,12,111,0,108,231,5,0,ACHEH ,UNDI BIASA
37,085/22/05,SK TANJUNG MEDANG,1.0,304,14,238,1,42,295,9,0,TANJUNG MEDANG ,UNDI BIASA
37,085/22/05,SK TANJUNG MEDANG,2.0,560,38,375,0,140,553,7,0,TANJUNG MEDANG ,UNDI BIASA
38,085/22/06,SK SERI TERENTANG,1.0,294,13,201,0,72,286,8,0,PADANG POLO ,UNDI BIASA
38,085/22/06,SK SERI TERENTANG,2.0,405,33,237,0,132,402,3,0,PADANG POLO ,UNDI BIASA
38,085/22/06,SK SERI TERENTANG,3.0,363,29,196,1,136,362,1,0,PADANG POLO ,UNDI BIASA
38,085/22/06,SK SERI TERENTANG,4.0,374,48,202,0,121,371,3,0,PADANG POLO ,UNDI BIASA
39,085/22/07,SK TANJUNG BATU,1.0,290,19,231,0,36,286,4,0,TANJUNG BATU ,UNDI BIASA
39,085/22/07,SK TANJUNG BATU,2.0,285,15,217,1,41,274,11,0,TANJUNG BATU ,UNDI BIASA
40,085/22/08,SK NENASI,1.0,282,17,237,0,19,273,9,0,LANDAI ,UNDI BIASA
