Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ZAKARIA ABDUL HAMID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUSANIFF BIN AB. RAHMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ISMAIL SABRI YAAKOB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
29,090/39/02,SMK TRIANG 3,2.0,389,54,76,258,388,1,0,FELDA TRIANG DUA & TIGA ,UNDI BIASA
29,090/39/02,SMK TRIANG 3,3.0,349,63,80,204,347,2,0,FELDA TRIANG DUA & TIGA ,UNDI BIASA
30,090/39/03,SK LKTP TEMENTI,1.0,308,23,58,215,296,12,0,FELDA TEMENTI ,UNDI BIASA
30,090/39/03,SK LKTP TEMENTI,2.0,493,101,111,262,474,19,0,FELDA TEMENTI ,UNDI BIASA
30,090/39/03,SK LKTP TEMENTI,3.0,464,110,122,229,461,3,0,FELDA TEMENTI ,UNDI BIASA
30,090/39/03,SK LKTP TEMENTI,4.0,463,111,141,209,461,2,0,FELDA TEMENTI ,UNDI BIASA
31,090/39/04,SK LKTP RENTAM,1.0,323,25,89,203,317,6,0,FELDA RENTAM ,UNDI BIASA
31,090/39/04,SK LKTP RENTAM,2.0,458,49,116,285,450,8,0,FELDA RENTAM ,UNDI BIASA
31,090/39/04,SK LKTP RENTAM,3.0,422,70,123,228,421,1,0,FELDA RENTAM ,UNDI BIASA
31,090/39/04,SK LKTP RENTAM,4.0,442,85,156,193,434,8,0,FELDA RENTAM ,UNDI BIASA
32,090/39/05,SK LKTP SEBERTAK,1.0,317,23,39,248,310,7,0,FELDA SEBERTAK ,UNDI BIASA
32,090/39/05,SK LKTP SEBERTAK,2.0,417,52,89,271,412,5,0,FELDA SEBERTAK ,UNDI BIASA
32,090/39/05,SK LKTP SEBERTAK,3.0,379,70,95,211,376,3,0,FELDA SEBERTAK ,UNDI BIASA
32,090/39/05,SK LKTP SEBERTAK,4.0,352,69,100,183,352,0,0,FELDA SEBERTAK ,UNDI BIASA
33,090/39/06,DEWAN ORANG RAMAI BERA SELATAN 4 & 7,1.0,187,36,13,132,181,6,0,FELDA BERA SELATAN ,UNDI BIASA
34,090/39/07,DEWAN KAMPUNG PASAL,1.0,256,22,21,208,251,5,0,KAMPUNG PASAL ,UNDI BIASA
35,090/39/08,SK ISKANDAR,1.0,270,47,10,192,249,21,0,POS ISKANDAR ,UNDI BIASA
35,090/39/08,SK ISKANDAR,2.0,350,75,3,261,339,11,0,POS ISKANDAR ,UNDI BIASA
35,090/39/08,SK ISKANDAR,3.0,329,86,0,240,326,3,0,POS ISKANDAR ,UNDI BIASA
36,090/39/09,SK LKTP TEMBANGAU 1,1.0,319,53,40,218,311,8,0,FELDA TEMBANGAU ,UNDI BIASA
36,090/39/09,SK LKTP TEMBANGAU 1,2.0,593,98,99,387,584,9,0,FELDA TEMBANGAU ,UNDI BIASA
36,090/39/09,SK LKTP TEMBANGAU 1,3.0,531,101,63,363,527,4,0,FELDA TEMBANGAU ,UNDI BIASA
36,090/39/09,SK LKTP TEMBANGAU 1,4.0,536,129,107,296,532,4,0,FELDA TEMBANGAU ,UNDI BIASA
36,090/39/09,SK LKTP TEMBANGAU 1,5.0,569,109,131,329,569,0,0,FELDA TEMBANGAU ,UNDI BIASA
37,090/39/10,SK LKTP TRIANG 2,1.0,323,96,35,180,311,12,0,FELDA TRIANG SATU ,UNDI BIASA
37,090/39/10,SK LKTP TRIANG 2,2.0,483,143,104,232,479,4,0,FELDA TRIANG SATU ,UNDI BIASA
38,090/39/11,SK KEMAYAN,1.0,251,39,30,178,247,4,0,KAMPUNG DATO SERI HAMZAH ,UNDI BIASA
38,090/39/11,SK KEMAYAN,2.0,316,58,45,206,309,7,0,KAMPUNG DATO SERI HAMZAH ,UNDI BIASA
38,090/39/11,SK KEMAYAN,3.0,284,41,57,180,278,6,0,KAMPUNG DATO SERI HAMZAH ,UNDI BIASA
39,090/39/12,SMK KEMAYAN,1.0,261,199,2,53,254,7,0,KEMAYAN ,UNDI BIASA
39,090/39/12,SMK KEMAYAN,2.0,528,399,16,99,514,14,0,KEMAYAN ,UNDI BIASA
39,090/39/12,SMK KEMAYAN,3.0,513,414,15,80,509,4,0,KEMAYAN ,UNDI BIASA
39,090/39/12,SMK KEMAYAN,4.0,501,433,7,59,499,2,0,KEMAYAN ,UNDI BIASA
39,090/39/12,SMK KEMAYAN,5.0,516,428,10,78,516,0,0,KEMAYAN ,UNDI BIASA
40,090/39/13,SJK(C) KEMAYAN,1.0,126,54,9,58,121,5,0,LADANG KEMAYAN ,UNDI BIASA
