Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' AHMAD NAZLAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ YOHANIS AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) WAN MOHD SHAHRIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
29,081/10/08,SK BANDAR JERANTUT,3.0,417,182,102,133,417,0,0,KAMPUNG MELAYU ,UNDI BIASA
29,081/10/08,SK BANDAR JERANTUT,4.0,386,141,109,134,384,2,0,KAMPUNG MELAYU ,UNDI BIASA
29,081/10/08,SK BANDAR JERANTUT,5.0,395,131,118,145,394,1,0,KAMPUNG MELAYU ,UNDI BIASA
30,081/10/09,TADIKA PERPADUAN PAKR BANDAR BARU,1.0,296,114,31,136,281,15,0,BANDAR BARU ,UNDI BIASA
30,081/10/09,TADIKA PERPADUAN PAKR BANDAR BARU,2.0,479,193,69,214,476,3,0,BANDAR BARU ,UNDI BIASA
30,081/10/09,TADIKA PERPADUAN PAKR BANDAR BARU,3.0,433,129,92,209,430,3,0,BANDAR BARU ,UNDI BIASA
30,081/10/09,TADIKA PERPADUAN PAKR BANDAR BARU,4.0,452,156,95,198,449,3,0,BANDAR BARU ,UNDI BIASA
31,081/10/10,SJK(C) SUNGAI JAN,1.0,269,76,6,166,248,21,0,SUNGAI JAN ,UNDI BIASA
31,081/10/10,SJK(C) SUNGAI JAN,2.0,424,92,8,316,416,8,0,SUNGAI JAN ,UNDI BIASA
31,081/10/10,SJK(C) SUNGAI JAN,3.0,426,81,5,339,425,1,0,SUNGAI JAN ,UNDI BIASA
31,081/10/10,SJK(C) SUNGAI JAN,4.0,405,57,15,331,403,2,0,SUNGAI JAN ,UNDI BIASA
31,081/10/10,SJK(C) SUNGAI JAN,5.0,382,56,30,295,381,1,0,SUNGAI JAN ,UNDI BIASA
32,081/10/11,SMK JERANTUT,1.0,288,79,20,185,284,4,0,TAMAN MUHIBBAH ,UNDI BIASA
32,081/10/11,SMK JERANTUT,2.0,562,134,39,380,553,9,0,TAMAN MUHIBBAH ,UNDI BIASA
32,081/10/11,SMK JERANTUT,3.0,557,108,49,398,555,2,0,TAMAN MUHIBBAH ,UNDI BIASA
32,081/10/11,SMK JERANTUT,4.0,530,95,46,386,527,3,0,TAMAN MUHIBBAH ,UNDI BIASA
32,081/10/11,SMK JERANTUT,5.0,510,80,67,361,508,1,1,TAMAN MUHIBBAH ,UNDI BIASA
32,081/10/11,SMK JERANTUT,6.0,533,81,81,371,533,0,0,TAMAN MUHIBBAH ,UNDI BIASA
33,081/10/12,SMK PADANG SAUJANA,1.0,252,75,16,153,244,8,0,INDERAPURA ,UNDI BIASA
33,081/10/12,SMK PADANG SAUJANA,2.0,469,166,62,235,463,6,0,INDERAPURA ,UNDI BIASA
33,081/10/12,SMK PADANG SAUJANA,3.0,469,133,108,223,464,5,0,INDERAPURA ,UNDI BIASA
33,081/10/12,SMK PADANG SAUJANA,4.0,437,133,115,188,436,1,0,INDERAPURA ,UNDI BIASA
33,081/10/12,SMK PADANG SAUJANA,5.0,455,146,152,156,454,1,0,INDERAPURA ,UNDI BIASA
34,081/10/13,SK TEMIN,1.0,297,117,140,30,287,10,0,KAMPUNG TEMIN ,UNDI BIASA
34,081/10/13,SK TEMIN,2.0,273,91,137,43,271,2,0,KAMPUNG TEMIN ,UNDI BIASA
34,081/10/13,SK TEMIN,3.0,301,82,162,57,301,0,0,KAMPUNG TEMIN ,UNDI BIASA
35,081/10/14,SK GINTONG,1.0,121,74,31,11,116,5,0,KAMPUNG GINTONG ,UNDI BIASA
36,081/10/15,SK TEBING TINGGI,1.0,443,207,191,33,431,12,0,KAMPUNG BATU KAWAH ,UNDI BIASA
37,081/10/16,SK BUKIT DINDING,1.0,280,155,63,52,270,10,0,BUKIT DINDING ,UNDI BIASA
37,081/10/16,SK BUKIT DINDING,2.0,322,165,92,57,314,8,0,BUKIT DINDING ,UNDI BIASA
38,081/10/17,DEWAN ORANG RAMAI KAMPUNG SIMPANG TEBING TINGGI,1.0,261,101,121,33,255,6,0,TEBING TINGGI ,UNDI BIASA
38,081/10/17,DEWAN ORANG RAMAI KAMPUNG SIMPANG TEBING TINGGI,2.0,263,97,121,44,262,1,0,TEBING TINGGI ,UNDI BIASA
39,081/10/18,SJK(C) JERANSONG,1.0,220,66,10,139,215,5,0,JERANSONG ,UNDI BIASA
40,081/10/19,SK SUNGAI KIOL,1.0,283,79,9,182,270,13,0,SUNGAI LEKOK ,UNDI BIASA
40,081/10/19,SK SUNGAI KIOL,2.0,426,158,8,248,414,12,0,SUNGAI LEKOK ,UNDI BIASA
41,081/10/20,SEKOLAH MENENGAH AGAMA EHYAIL MAARIF ULU CHEKA,1.0,303,220,53,13,286,17,0,HULU CHEKA ,UNDI BIASA
41,081/10/20,SEKOLAH MENENGAH AGAMA EHYAIL MAARIF ULU CHEKA,2.0,437,299,98,33,430,7,0,HULU CHEKA ,UNDI BIASA
41,081/10/20,SEKOLAH MENENGAH AGAMA EHYAIL MAARIF ULU CHEKA,3.0,384,232,114,34,380,4,0,HULU CHEKA ,UNDI BIASA
42,081/11/01,SK LKTP KOTA GELANGGI 2,1.0,303,192,64,34,290,13,0,FELDA KOTA GELANGGI 2 ,UNDI BIASA
42,081/11/01,SK LKTP KOTA GELANGGI 2,2.0,477,310,111,44,465,12,0,FELDA KOTA GELANGGI 2 ,UNDI BIASA
42,081/11/01,SK LKTP KOTA GELANGGI 2,3.0,402,184,146,70,400,2,0,FELDA KOTA GELANGGI 2 ,UNDI BIASA
42,081/11/01,SK LKTP KOTA GELANGGI 2,4.0,375,177,139,56,372,3,0,FELDA KOTA GELANGGI 2 ,UNDI BIASA
42,081/11/01,SK LKTP KOTA GELANGGI 2,5.0,396,166,157,72,395,1,0,FELDA KOTA GELANGGI 2 ,UNDI BIASA
43,081/11/02,SK LKTP LEPAR UTARA 8,1.0,325,170,119,30,319,6,0,FELDA LEPAR UTARA TIGA ,UNDI BIASA
43,081/11/02,SK LKTP LEPAR UTARA 8,2.0,372,196,110,63,369,3,0,FELDA LEPAR UTARA TIGA ,UNDI BIASA
43,081/11/02,SK LKTP LEPAR UTARA 8,3.0,363,141,153,67,361,2,0,FELDA LEPAR UTARA TIGA ,UNDI BIASA
44,081/11/03,SK LKTP TEKAM UTARA,1.0,304,191,95,5,291,13,0,FELDA SUNGAI TEKAM UTARA ,UNDI BIASA
44,081/11/03,SK LKTP TEKAM UTARA,2.0,409,230,158,18,406,3,0,FELDA SUNGAI TEKAM UTARA ,UNDI BIASA
