Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU SULAIMAN MD DERUS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) FUZIAH SALLEH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' WONG KEAN HWEE DATO' WONG KEAN HWEE Jumlah undian,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) oleh pemilih Jumlah undian,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
20,083/15/08,SK SUNGAI ISAP MURNI,3.0,573,285,146,138,569,4,0,SUNGAI ISAP MURNI ,UNDI BIASA
20,083/15/08,SK SUNGAI ISAP MURNI,4.0,506,235,137,132,504,2,0,SUNGAI ISAP MURNI ,UNDI BIASA
20,083/15/08,SK SUNGAI ISAP MURNI,5.0,509,238,156,107,501,8,0,SUNGAI ISAP MURNI ,UNDI BIASA
20,083/15/08,SK SUNGAI ISAP MURNI,6.0,548,261,158,126,545,3,0,SUNGAI ISAP MURNI ,UNDI BIASA
21,083/15/09,SK SUNGAI ISAP,1.0,315,111,60,138,309,5,1,SUNGAI ISAP ,UNDI BIASA
21,083/15/09,SK SUNGAI ISAP,2.0,602,274,155,166,595,7,0,SUNGAI ISAP ,UNDI BIASA
21,083/15/09,SK SUNGAI ISAP,3.0,556,247,158,146,551,5,0,SUNGAI ISAP ,UNDI BIASA
21,083/15/09,SK SUNGAI ISAP,4.0,495,211,168,115,494,1,0,SUNGAI ISAP ,UNDI BIASA
21,083/15/09,SK SUNGAI ISAP,5.0,511,257,171,82,510,1,0,SUNGAI ISAP ,UNDI BIASA
21,083/15/09,SK SUNGAI ISAP,6.0,564,250,193,118,561,3,0,SUNGAI ISAP ,UNDI BIASA
22,083/16/01,SK KAMPUNG BELUKAR,1.0,288,97,53,122,272,16,0,KAMPUNG BELUKAR ,UNDI BIASA
22,083/16/01,SK KAMPUNG BELUKAR,2.0,513,220,128,150,498,15,0,KAMPUNG BELUKAR ,UNDI BIASA
22,083/16/01,SK KAMPUNG BELUKAR,3.0,510,225,129,153,507,3,0,KAMPUNG BELUKAR ,UNDI BIASA
22,083/16/01,SK KAMPUNG BELUKAR,4.0,481,222,127,126,475,6,0,KAMPUNG BELUKAR ,UNDI BIASA
22,083/16/01,SK KAMPUNG BELUKAR,5.0,479,234,123,117,474,5,0,KAMPUNG BELUKAR ,UNDI BIASA
