Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK HAJI AWANG SOLAHUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO ZUL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) RASHID YOB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) SURAYA BINTI YAACOB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
16,011/18/13,"SEKOLAH JENIS KEBANGSAAN (CINA) YEANG CHENG, PENDANG",2,360,214,76,6,62,358,2,0,PEKAN PENDANG ,UNDI BIASA,PEKAN PENDANG 011/18/13
16,011/18/13,"SEKOLAH JENIS KEBANGSAAN (CINA) YEANG CHENG, PENDANG",3,317,196,54,2,63,315,2,0,PEKAN PENDANG ,UNDI BIASA,PEKAN PENDANG 011/18/13
17,011/18/14,"SEKOLAH KEBANGSAAN BUKIT RAYA DALAM, KAMPUNG BUKIT RAYA DALAM",1,352,234,24,5,85,348,4,0,BUKIT RAYA ,UNDI BIASA,BUKIT RAYA 011/18/14
17,011/18/14,"SEKOLAH KEBANGSAAN BUKIT RAYA DALAM, KAMPUNG BUKIT RAYA DALAM",2,399,265,27,6,99,397,2,0,BUKIT RAYA ,UNDI BIASA,BUKIT RAYA 011/18/14
17,011/18/14,"SEKOLAH KEBANGSAAN BUKIT RAYA DALAM, KAMPUNG BUKIT RAYA DALAM",3,486,381,25,10,63,479,7,0,BUKIT RAYA ,UNDI BIASA,BUKIT RAYA 011/18/14
17,011/18/14,"SEKOLAH KEBANGSAAN BUKIT RAYA DALAM, KAMPUNG BUKIT RAYA DALAM",4,428,368,20,3,35,426,2,0,BUKIT RAYA ,UNDI BIASA,BUKIT RAYA 011/18/14
17,011/18/14,"SEKOLAH KEBANGSAAN BUKIT RAYA DALAM, KAMPUNG BUKIT RAYA DALAM",5,505,411,29,4,60,504,1,0,BUKIT RAYA ,UNDI BIASA,BUKIT RAYA 011/18/14
18,011/18/15,"SEKOLAH MENENGAH KEBANGSAAN TANAH MERAH, PENDANG",1,370,306,6,6,50,368,2,0,BANGGOL BESI ,UNDI BIASA,BANGGOL BESI 011/18/15
18,011/18/15,"SEKOLAH MENENGAH KEBANGSAAN TANAH MERAH, PENDANG",2,553,474,25,5,44,548,5,0,BANGGOL BESI ,UNDI BIASA,BANGGOL BESI 011/18/15
18,011/18/15,"SEKOLAH MENENGAH KEBANGSAAN TANAH MERAH, PENDANG",3,484,427,18,4,32,481,2,1,BANGGOL BESI ,UNDI BIASA,BANGGOL BESI 011/18/15
18,011/18/15,"SEKOLAH MENENGAH KEBANGSAAN TANAH MERAH, PENDANG",4,561,476,26,3,56,561,0,0,BANGGOL BESI ,UNDI BIASA,BANGGOL BESI 011/18/15
19,011/18/16,"SEKOLAH KEBANGSAAN GUAR KEPAYANG, PENDANG",1,358,250,11,2,88,351,7,0,GUAR KEPAYANG ,UNDI BIASA,GUAR KEPAYANG 011/18/16
19,011/18/16,"SEKOLAH KEBANGSAAN GUAR KEPAYANG, PENDANG",2,397,319,18,1,58,396,1,0,GUAR KEPAYANG ,UNDI BIASA,GUAR KEPAYANG 011/18/16
19,011/18/16,"SEKOLAH KEBANGSAAN GUAR KEPAYANG, PENDANG",3,480,392,13,3,70,478,2,0,GUAR KEPAYANG ,UNDI BIASA,GUAR KEPAYANG 011/18/16
19,011/18/16,"SEKOLAH KEBANGSAAN GUAR KEPAYANG, PENDANG",4,434,359,8,5,60,432,2,0,GUAR KEPAYANG ,UNDI BIASA,GUAR KEPAYANG 011/18/16
19,011/18/16,"SEKOLAH KEBANGSAAN GUAR KEPAYANG, PENDANG",5,435,394,14,0,27,435,0,0,GUAR KEPAYANG ,UNDI BIASA,GUAR KEPAYANG 011/18/16
19,011/18/16,"SEKOLAH KEBANGSAAN GUAR KEPAYANG, PENDANG",6,486,429,14,0,43,486,0,0,GUAR KEPAYANG ,UNDI BIASA,GUAR KEPAYANG 011/18/16
20,011/18/17,"SEKOLAH KEBANGSAAN CHAROK KUDONG, PENDANG",1,390,246,18,1,124,389,1,0,CHEROK KUDONG ,UNDI BIASA,CHEROK KUDONG 011/18/17
20,011/18/17,"SEKOLAH KEBANGSAAN CHAROK KUDONG, PENDANG",2,480,372,17,1,90,480,0,0,CHEROK KUDONG ,UNDI BIASA,CHEROK KUDONG 011/18/17
20,011/18/17,"SEKOLAH KEBANGSAAN CHAROK KUDONG, PENDANG",3,457,349,16,1,89,455,2,0,CHEROK KUDONG ,UNDI BIASA,CHEROK KUDONG 011/18/17
21,011/18/18,"SEKOLAH KEBANGSAAN KAMPUNG CHEGAR, PENDANG",1,342,241,15,5,77,338,4,0,GAJAH MATI ,UNDI BIASA,GAJAH MATI 011/18/18
21,011/18/18,"SEKOLAH KEBANGSAAN KAMPUNG CHEGAR, PENDANG",2,386,258,18,5,103,384,2,0,GAJAH MATI ,UNDI BIASA,GAJAH MATI 011/18/18
21,011/18/18,"SEKOLAH KEBANGSAAN KAMPUNG CHEGAR, PENDANG",3,518,386,35,5,85,511,7,0,GAJAH MATI ,UNDI BIASA,GAJAH MATI 011/18/18
21,011/18/18,"SEKOLAH KEBANGSAAN KAMPUNG CHEGAR, PENDANG",4,487,392,20,2,71,485,2,0,GAJAH MATI ,UNDI BIASA,GAJAH MATI 011/18/18
21,011/18/18,"SEKOLAH KEBANGSAAN KAMPUNG CHEGAR, PENDANG",5,520,395,21,1,101,518,2,0,GAJAH MATI ,UNDI BIASA,GAJAH MATI 011/18/18
22,011/18/19,"SEKOLAH MENENGAH KEBANGSAAN TUNKU TEMENGGUNG, PENDANG",1,353,228,35,0,87,350,3,0,MANGGOL PETAI ,UNDI BIASA,MANGGOL PETAI 011/18/19
22,011/18/19,"SEKOLAH MENENGAH KEBANGSAAN TUNKU TEMENGGUNG, PENDANG",2,379,247,44,6,80,377,2,0,MANGGOL PETAI ,UNDI BIASA,MANGGOL PETAI 011/18/19
22,011/18/19,"SEKOLAH MENENGAH KEBANGSAAN TUNKU TEMENGGUNG, PENDANG",3,593,415,90,7,79,591,2,0,MANGGOL PETAI ,UNDI BIASA,MANGGOL PETAI 011/18/19
22,011/18/19,"SEKOLAH MENENGAH KEBANGSAAN TUNKU TEMENGGUNG, PENDANG",4,518,375,72,4,67,518,0,0,MANGGOL PETAI ,UNDI BIASA,MANGGOL PETAI 011/18/19
22,011/18/19,"SEKOLAH MENENGAH KEBANGSAAN TUNKU TEMENGGUNG, PENDANG",5,506,355,75,4,72,506,0,0,MANGGOL PETAI ,UNDI BIASA,MANGGOL PETAI 011/18/19
22,011/18/19,"SEKOLAH MENENGAH KEBANGSAAN TUNKU TEMENGGUNG, PENDANG",6,550,404,70,3,73,550,0,0,MANGGOL PETAI ,UNDI BIASA,MANGGOL PETAI 011/18/19
22,011/18/19,"SEKOLAH MENENGAH KEBANGSAAN TUNKU TEMENGGUNG, PENDANG",7,656,480,78,2,93,653,3,0,MANGGOL PETAI ,UNDI BIASA,MANGGOL PETAI 011/18/19
23,011/18/20,"SEKOLAH KEBANGSAAN PENDANG, PENDANG",1,367,258,18,2,85,363,4,0,PAYA KELUBI ,UNDI BIASA,PAYA KELUBI 011/18/20
23,011/18/20,"SEKOLAH KEBANGSAAN PENDANG, PENDANG",2,368,295,18,3,51,367,1,0,PAYA KELUBI ,UNDI BIASA,PAYA KELUBI 011/18/20
23,011/18/20,"SEKOLAH KEBANGSAAN PENDANG, PENDANG",3,420,364,21,0,35,420,0,0,PAYA KELUBI ,UNDI BIASA,PAYA KELUBI 011/18/20
23,011/18/20,"SEKOLAH KEBANGSAAN PENDANG, PENDANG",4,439,381,21,4,31,437,2,0,PAYA KELUBI ,UNDI BIASA,PAYA KELUBI 011/18/20
24,011/18/21,"SEKOLAH KEBANGSAAN AYER PUTEH, KAMPUNG TEMPOYAK",1,377,254,14,1,102,371,6,0,BATU MANUNGGUL ,UNDI BIASA,BATU MANUNGGUL 011/18/21
24,011/18/21,"SEKOLAH KEBANGSAAN AYER PUTEH, KAMPUNG TEMPOYAK",2,387,278,20,5,83,386,1,0,BATU MANUNGGUL ,UNDI BIASA,BATU MANUNGGUL 011/18/21
