Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' CIKGU AZMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO SIVARAJ CHANDRAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HAMZAH ABD RAHMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR. SOFEE RAZAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ANANDA AK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MOHD BAKHRI BIN HAJI HASHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
44,017/34/20,"SEKOLAH KEBANGSAAN AIR MERAH, KULIM",3,474,142,10,2,313,3,0,470,4,0,BANDAR PUTRA ,UNDI BIASA,BANDAR PUTRA 017/34/20
44,017/34/20,"SEKOLAH KEBANGSAAN AIR MERAH, KULIM",4,415,133,5,0,267,0,1,406,9,0,BANDAR PUTRA ,UNDI BIASA,BANDAR PUTRA 017/34/20
44,017/34/20,"SEKOLAH KEBANGSAAN AIR MERAH, KULIM",5,374,144,5,2,218,5,0,374,0,0,BANDAR PUTRA ,UNDI BIASA,BANDAR PUTRA 017/34/20
44,017/34/20,"SEKOLAH KEBANGSAAN AIR MERAH, KULIM",6,362,159,7,1,190,4,1,362,0,0,BANDAR PUTRA ,UNDI BIASA,BANDAR PUTRA 017/34/20
44,017/34/20,"SEKOLAH KEBANGSAAN AIR MERAH, KULIM",7,371,153,7,0,208,2,1,371,0,0,BANDAR PUTRA ,UNDI BIASA,BANDAR PUTRA 017/34/20
44,017/34/20,"SEKOLAH KEBANGSAAN AIR MERAH, KULIM",8,401,163,5,1,230,2,0,401,0,0,BANDAR PUTRA ,UNDI BIASA,BANDAR PUTRA 017/34/20
44,017/34/20,"SEKOLAH KEBANGSAAN AIR MERAH, KULIM",9,346,157,7,0,180,1,0,345,1,0,BANDAR PUTRA ,UNDI BIASA,BANDAR PUTRA 017/34/20
45,017/34/21,"SEKOLAH MENENGAH KEBANGSAAN AIR MERAH, KULIM",1,336,183,24,3,122,2,0,334,2,0,TAMAN ANGSANA ,UNDI BIASA,TAMAN ANGSANA 017/34/21
45,017/34/21,"SEKOLAH MENENGAH KEBANGSAAN AIR MERAH, KULIM",2,479,245,12,1,218,2,0,478,1,0,TAMAN ANGSANA ,UNDI BIASA,TAMAN ANGSANA 017/34/21
45,017/34/21,"SEKOLAH MENENGAH KEBANGSAAN AIR MERAH, KULIM",3,369,190,6,1,161,1,1,360,9,0,TAMAN ANGSANA ,UNDI BIASA,TAMAN ANGSANA 017/34/21
45,017/34/21,"SEKOLAH MENENGAH KEBANGSAAN AIR MERAH, KULIM",4,365,219,7,1,137,1,0,365,0,0,TAMAN ANGSANA ,UNDI BIASA,TAMAN ANGSANA 017/34/21
45,017/34/21,"SEKOLAH MENENGAH KEBANGSAAN AIR MERAH, KULIM",5,401,247,3,0,149,1,0,400,1,0,TAMAN ANGSANA ,UNDI BIASA,TAMAN ANGSANA 017/34/21
45,017/34/21,"SEKOLAH MENENGAH KEBANGSAAN AIR MERAH, KULIM",6,394,246,6,0,139,1,0,392,2,0,TAMAN ANGSANA ,UNDI BIASA,TAMAN ANGSANA 017/34/21
46,017/34/22,"SEKOLAH KEBANGSAAN TAMAN SELASIH, KULIM",1,356,112,14,4,222,0,0,352,4,0,TAMAN SEMARAK ,UNDI BIASA,TAMAN SEMARAK 017/34/22
46,017/34/22,"SEKOLAH KEBANGSAAN TAMAN SELASIH, KULIM",2,426,179,5,3,236,2,0,425,0,1,TAMAN SEMARAK ,UNDI BIASA,TAMAN SEMARAK 017/34/22
46,017/34/22,"SEKOLAH KEBANGSAAN TAMAN SELASIH, KULIM",3,380,178,2,0,196,0,0,376,4,0,TAMAN SEMARAK ,UNDI BIASA,TAMAN SEMARAK 017/34/22
46,017/34/22,"SEKOLAH KEBANGSAAN TAMAN SELASIH, KULIM",4,389,207,8,1,172,0,1,389,0,0,TAMAN SEMARAK ,UNDI BIASA,TAMAN SEMARAK 017/34/22
,,,,,,,,,,,,,,,,
JUMLAH,JUMLAH,JUMLAH,233,92302,51637,2983,424,35377,846,149,91416,753,133,END,END,END
