Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK SERI SAIFUDDIN NASUTION ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) CIKGU ROSLAN HASHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) RIZAL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK MUHAR BIN HUSSAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
1,UNDI POS,,1,1753,268,924,13,284,1489,118,146,UNDI POS,UNDI POS,UNDI POS
2,018/35/00,"BILIK MAKLUMAT, IBU PEJABAT POLIS DAERAH KULIM",1,422,17,238,0,161,416,6,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 018/35/00
2,018/35/00,"DEWAN SERBAGUNA BATALION 2, PASUKAN GERAKAN AM JUNJONG, KULIM",1,226,7,154,1,61,223,3,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 018/35/00
2,018/35/00,"DEWAN SERBAGUNA BATALION 2, PASUKAN GERAKAN AM JUNJONG, KULIM",2,307,16,205,0,85,306,1,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 018/35/00
3,018/36/00,"DEWAN ANGGERIK, IBU PEJABAT POLIS DAERAH BANDAR BAHARU",1,188,5,46,3,130,184,4,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 018/36/00
4,018/35/01,"SEKOLAH KEBANGSAAN SERI LINDUNGAN RAJA, KARANGAN",1,364,23,180,4,151,358,6,0,KAMPUNG TEBUAN ,UNDI BIASA,KAMPUNG TEBUAN 018/35/01
4,018/35/01,"SEKOLAH KEBANGSAAN SERI LINDUNGAN RAJA, KARANGAN",2,485,55,298,1,127,481,3,1,KAMPUNG TEBUAN ,UNDI BIASA,KAMPUNG TEBUAN 018/35/01
4,018/35/01,"SEKOLAH KEBANGSAAN SERI LINDUNGAN RAJA, KARANGAN",3,443,25,324,0,92,441,2,0,KAMPUNG TEBUAN ,UNDI BIASA,KAMPUNG TEBUAN 018/35/01
4,018/35/01,"SEKOLAH KEBANGSAAN SERI LINDUNGAN RAJA, KARANGAN",4,504,22,375,0,96,493,11,0,KAMPUNG TEBUAN ,UNDI BIASA,KAMPUNG TEBUAN 018/35/01
5,018/35/02,"SEKOLAH MENENGAH KEBANGSAAN MAHANG, KARANGAN",1,359,34,207,6,104,351,8,0,ULU MAHANG ,UNDI BIASA,ULU MAHANG 018/35/02
5,018/35/02,"SEKOLAH MENENGAH KEBANGSAAN MAHANG, KARANGAN",2,506,58,372,3,72,505,1,0,ULU MAHANG ,UNDI BIASA,ULU MAHANG 018/35/02
5,018/35/02,"SEKOLAH MENENGAH KEBANGSAAN MAHANG, KARANGAN",3,515,45,421,0,48,514,1,0,ULU MAHANG ,UNDI BIASA,ULU MAHANG 018/35/02
6,018/35/03,"SEKOLAH KEBANGSAAN MAHANG, KARANGAN",1,336,65,137,4,123,329,7,0,PEKAN MAHANG ,UNDI BIASA,PEKAN MAHANG 018/35/03
6,018/35/03,"SEKOLAH KEBANGSAAN MAHANG, KARANGAN",2,352,39,264,2,44,349,3,0,PEKAN MAHANG ,UNDI BIASA,PEKAN MAHANG 018/35/03
6,018/35/03,"SEKOLAH KEBANGSAAN MAHANG, KARANGAN",3,387,45,289,1,52,387,0,0,PEKAN MAHANG ,UNDI BIASA,PEKAN MAHANG 018/35/03
7,018/35/04,"SEKOLAH KEBANGSAAN LADANG DUBLIN, JALAN MAHANG",1,110,53,18,3,30,104,6,0,LADANG SUNGAI DINGIN ,UNDI BIASA,LADANG SUNGAI DINGIN 018/35/04
7,018/35/04,"SEKOLAH KEBANGSAAN LADANG DUBLIN, JALAN MAHANG",2,305,70,147,0,83,300,5,0,LADANG SUNGAI DINGIN ,UNDI BIASA,LADANG SUNGAI DINGIN 018/35/04
8,018/35/05,"SEKOLAH KEBANGSAAN GUNONG BONGSU, KARANGAN",1,372,36,102,9,213,360,12,0,FELDA GUNONG BONGSU ,UNDI BIASA,FELDA GUNONG BONGSU 018/35/05
8,018/35/05,"SEKOLAH KEBANGSAAN GUNONG BONGSU, KARANGAN",2,431,69,248,8,101,426,5,0,FELDA GUNONG BONGSU ,UNDI BIASA,FELDA GUNONG BONGSU 018/35/05
