Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NORAINI BINTI MD SALLEH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' AHMAD YAHAYA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NORAN ZAMINI BIN JAMALUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' WIRA HJ MAHFUZ OMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
24,008/09/20,"SEKOLAH KEBANGSAAN KAMPONG BUKIT, POKOK SENA",5,409,2,278,93,34,407,2,0,KAMPUNG BUKIT ,UNDI BIASA,KAMPUNG BUKIT 008/09/20
24,008/09/20,"SEKOLAH KEBANGSAAN KAMPONG BUKIT, POKOK SENA",6,450,2,320,84,41,447,3,0,KAMPUNG BUKIT ,UNDI BIASA,KAMPUNG BUKIT 008/09/20
25,008/09/21,"SEKOLAH KEBANGSAAN KUALA LANJUT, KUBUR PANJANG",1,347,4,199,129,11,343,4,0,KUALA LANJUT ,UNDI BIASA,KUALA LANJUT 008/09/21
25,008/09/21,"SEKOLAH KEBANGSAAN KUALA LANJUT, KUBUR PANJANG",2,392,1,251,112,26,390,2,0,KUALA LANJUT ,UNDI BIASA,KUALA LANJUT 008/09/21
25,008/09/21,"SEKOLAH KEBANGSAAN KUALA LANJUT, KUBUR PANJANG",3,556,2,417,120,12,551,5,0,KUALA LANJUT ,UNDI BIASA,KUALA LANJUT 008/09/21
25,008/09/21,"SEKOLAH KEBANGSAAN KUALA LANJUT, KUBUR PANJANG",4,548,1,407,113,25,546,2,0,KUALA LANJUT ,UNDI BIASA,KUALA LANJUT 008/09/21
26,008/09/22,"SEKOLAH MENENGAH KEBANGSAAN POKOK SENA, POKOK SENA",1,269,1,142,95,24,262,7,0,KAMPUNG PANCHOR ,UNDI BIASA,KAMPUNG PANCHOR 008/09/22
26,008/09/22,"SEKOLAH MENENGAH KEBANGSAAN POKOK SENA, POKOK SENA",2,251,0,167,69,14,250,1,0,KAMPUNG PANCHOR ,UNDI BIASA,KAMPUNG PANCHOR 008/09/22
27,008/10/01,"SEKOLAH KEBANGSAAN LENGKUAS, KEPALA BATAS",1,331,4,196,95,28,323,8,0,PAYA LENGKUAS ,UNDI BIASA,PAYA LENGKUAS 008/10/01
27,008/10/01,"SEKOLAH KEBANGSAAN LENGKUAS, KEPALA BATAS",2,332,2,229,72,26,329,3,0,PAYA LENGKUAS ,UNDI BIASA,PAYA LENGKUAS 008/10/01
27,008/10/01,"SEKOLAH KEBANGSAAN LENGKUAS, KEPALA BATAS",3,336,0,268,46,21,335,1,0,PAYA LENGKUAS ,UNDI BIASA,PAYA LENGKUAS 008/10/01
27,008/10/01,"SEKOLAH KEBANGSAAN LENGKUAS, KEPALA BATAS",4,363,1,296,39,27,363,0,0,PAYA LENGKUAS ,UNDI BIASA,PAYA LENGKUAS 008/10/01
28,008/10/02,"SEKOLAH JENIS KEBANGSAAN (CINA) SOON CHENG, BUKIT PINANG",1,312,4,109,72,124,309,3,0,BUKIT PINANG ,UNDI BIASA,BUKIT PINANG 008/10/02
28,008/10/02,"SEKOLAH JENIS KEBANGSAAN (CINA) SOON CHENG, BUKIT PINANG",2,372,1,171,70,127,369,3,0,BUKIT PINANG ,UNDI BIASA,BUKIT PINANG 008/10/02
28,008/10/02,"SEKOLAH JENIS KEBANGSAAN (CINA) SOON CHENG, BUKIT PINANG",3,451,1,243,67,138,449,2,0,BUKIT PINANG ,UNDI BIASA,BUKIT PINANG 008/10/02
28,008/10/02,"SEKOLAH JENIS KEBANGSAAN (CINA) SOON CHENG, BUKIT PINANG",4,422,1,262,46,108,417,5,0,BUKIT PINANG ,UNDI BIASA,BUKIT PINANG 008/10/02
28,008/10/02,"SEKOLAH JENIS KEBANGSAAN (CINA) SOON CHENG, BUKIT PINANG",5,437,0,301,47,88,436,1,0,BUKIT PINANG ,UNDI BIASA,BUKIT PINANG 008/10/02
28,008/10/02,"SEKOLAH JENIS KEBANGSAAN (CINA) SOON CHENG, BUKIT PINANG",6,539,0,398,48,90,536,3,0,BUKIT PINANG ,UNDI BIASA,BUKIT PINANG 008/10/02
29,008/10/03,"SEKOLAH MENENGAH KEBANGSAAN KEPALA BATAS, ALOR SETAR",1,316,3,186,70,42,301,15,0,TITI BARU ,UNDI BIASA,TITI BARU 008/10/03
29,008/10/03,"SEKOLAH MENENGAH KEBANGSAAN KEPALA BATAS, ALOR SETAR",2,357,6,256,49,44,355,2,0,TITI BARU ,UNDI BIASA,TITI BARU 008/10/03
29,008/10/03,"SEKOLAH MENENGAH KEBANGSAAN KEPALA BATAS, ALOR SETAR",3,463,0,373,44,44,461,2,0,TITI BARU ,UNDI BIASA,TITI BARU 008/10/03
29,008/10/03,"SEKOLAH MENENGAH KEBANGSAAN KEPALA BATAS, ALOR SETAR",4,505,1,429,39,33,502,3,0,TITI BARU ,UNDI BIASA,TITI BARU 008/10/03
30,008/10/04,"SEKOLAH KEBANGSAAN HAJI ABU BAKAR, ALOR SETAR",1,357,3,245,85,24,357,0,0,KUBANG LINTAH ,UNDI BIASA,KUBANG LINTAH 008/10/04
30,008/10/04,"SEKOLAH KEBANGSAAN HAJI ABU BAKAR, ALOR SETAR",2,440,2,341,58,39,440,0,0,KUBANG LINTAH ,UNDI BIASA,KUBANG LINTAH 008/10/04
30,008/10/04,"SEKOLAH KEBANGSAAN HAJI ABU BAKAR, ALOR SETAR",3,440,1,374,44,21,440,0,0,KUBANG LINTAH ,UNDI BIASA,KUBANG LINTAH 008/10/04
31,008/10/05,"KOLEJ TINGKATAN ENAM SULTAN SALLEHUDDIN, HUTAN KAMPUNG",1,334,2,199,50,80,331,3,0,HUTAN KAMPUNG ,UNDI BIASA,HUTAN KAMPUNG 008/10/05
31,008/10/05,"KOLEJ TINGKATAN ENAM SULTAN SALLEHUDDIN, HUTAN KAMPUNG",2,406,2,252,63,89,406,0,0,HUTAN KAMPUNG ,UNDI BIASA,HUTAN KAMPUNG 008/10/05
31,008/10/05,"KOLEJ TINGKATAN ENAM SULTAN SALLEHUDDIN, HUTAN KAMPUNG",3,552,3,390,61,96,550,2,0,HUTAN KAMPUNG ,UNDI BIASA,HUTAN KAMPUNG 008/10/05
31,008/10/05,"KOLEJ TINGKATAN ENAM SULTAN SALLEHUDDIN, HUTAN KAMPUNG",4,493,2,356,44,89,491,2,0,HUTAN KAMPUNG ,UNDI BIASA,HUTAN KAMPUNG 008/10/05
31,008/10/05,"KOLEJ TINGKATAN ENAM SULTAN SALLEHUDDIN, HUTAN KAMPUNG",5,518,3,332,37,146,518,0,0,HUTAN KAMPUNG ,UNDI BIASA,HUTAN KAMPUNG 008/10/05
31,008/10/05,"KOLEJ TINGKATAN ENAM SULTAN SALLEHUDDIN, HUTAN KAMPUNG",6,595,5,392,45,152,594,1,0,HUTAN KAMPUNG ,UNDI BIASA,HUTAN KAMPUNG 008/10/05
32,008/10/06,"SEKOLAH MENENGAH KEBANGSAAN DATO' SYED OMAR, ALOR SETAR",1,276,9,113,49,104,275,1,0,TAMAN BAYU ,UNDI BIASA,TAMAN BAYU 008/10/06
32,008/10/06,"SEKOLAH MENENGAH KEBANGSAAN DATO' SYED OMAR, ALOR SETAR",2,351,11,161,44,133,349,2,0,TAMAN BAYU ,UNDI BIASA,TAMAN BAYU 008/10/06
32,008/10/06,"SEKOLAH MENENGAH KEBANGSAAN DATO' SYED OMAR, ALOR SETAR",3,375,4,205,47,117,373,2,0,TAMAN BAYU ,UNDI BIASA,TAMAN BAYU 008/10/06
32,008/10/06,"SEKOLAH MENENGAH KEBANGSAAN DATO' SYED OMAR, ALOR SETAR",4,341,4,192,31,114,341,0,0,TAMAN BAYU ,UNDI BIASA,TAMAN BAYU 008/10/06
32,008/10/06,"SEKOLAH MENENGAH KEBANGSAAN DATO' SYED OMAR, ALOR SETAR",5,381,6,190,34,151,381,0,0,TAMAN BAYU ,UNDI BIASA,TAMAN BAYU 008/10/06
32,008/10/06,"SEKOLAH MENENGAH KEBANGSAAN DATO' SYED OMAR, ALOR SETAR",6,455,1,259,29,166,455,0,0,TAMAN BAYU ,UNDI BIASA,TAMAN BAYU 008/10/06
33,008/10/07,"SEKOLAH KEBANGSAAN BOHOR, HUTAN KAMPUNG",1,354,6,215,94,35,350,4,0,KAMPUNG BOHOR ,UNDI BIASA,KAMPUNG BOHOR 008/10/07
33,008/10/07,"SEKOLAH KEBANGSAAN BOHOR, HUTAN KAMPUNG",2,382,7,255,74,41,377,5,0,KAMPUNG BOHOR ,UNDI BIASA,KAMPUNG BOHOR 008/10/07
