Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AH CHONG @ CHONG SIN WOON,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI SHARIFFUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LOKE SIEW FOOK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
30,128/11/06,SEK JENIS KEB (CINA) KUO MIN JALAN TUN DR ISMAIL SEREMBAN,2.0,478,58,3,412,473,5,0,KAMPONG NEE YAN ,UNDI BIASA
30,128/11/06,SEK JENIS KEB (CINA) KUO MIN JALAN TUN DR ISMAIL SEREMBAN,3.0,474,46,2,420,468,6,0,KAMPONG NEE YAN ,UNDI BIASA
30,128/11/06,SEK JENIS KEB (CINA) KUO MIN JALAN TUN DR ISMAIL SEREMBAN,4.0,472,34,5,432,471,1,0,KAMPONG NEE YAN ,UNDI BIASA
30,128/11/06,SEK JENIS KEB (CINA) KUO MIN JALAN TUN DR ISMAIL SEREMBAN,5.0,466,28,1,435,464,2,0,KAMPONG NEE YAN ,UNDI BIASA
30,128/11/06,SEK JENIS KEB (CINA) KUO MIN JALAN TUN DR ISMAIL SEREMBAN,6.0,467,38,3,425,466,1,0,KAMPONG NEE YAN ,UNDI BIASA
31,128/12/01,SEKOLAH MENENGAH KEBANGSAAN AGAMA SHEIKH HJ MOHD SAID,1.0,299,128,28,139,295,4,0,TAMAN TEMIANG JAYA ,UNDI BIASA
31,128/12/01,SEKOLAH MENENGAH KEBANGSAAN AGAMA SHEIKH HJ MOHD SAID,2.0,601,220,60,320,600,1,0,TAMAN TEMIANG JAYA ,UNDI BIASA
31,128/12/01,SEKOLAH MENENGAH KEBANGSAAN AGAMA SHEIKH HJ MOHD SAID,3.0,569,154,69,343,566,3,0,TAMAN TEMIANG JAYA ,UNDI BIASA
31,128/12/01,SEKOLAH MENENGAH KEBANGSAAN AGAMA SHEIKH HJ MOHD SAID,4.0,535,122,94,314,530,5,0,TAMAN TEMIANG JAYA ,UNDI BIASA
31,128/12/01,SEKOLAH MENENGAH KEBANGSAAN AGAMA SHEIKH HJ MOHD SAID,5.0,532,128,81,323,532,0,0,TAMAN TEMIANG JAYA ,UNDI BIASA
32,128/12/02,SEKOLAH MEN JENIS KEBANGSAAN (CINA) CHAN WA,1.0,212,50,1,151,202,10,0,TEMIANG ,UNDI BIASA
32,128/12/02,SEKOLAH MEN JENIS KEBANGSAAN (CINA) CHAN WA,2.0,526,114,11,396,521,5,0,TEMIANG ,UNDI BIASA
32,128/12/02,SEKOLAH MEN JENIS KEBANGSAAN (CINA) CHAN WA,3.0,524,103,18,397,518,6,0,TEMIANG ,UNDI BIASA
32,128/12/02,SEKOLAH MEN JENIS KEBANGSAAN (CINA) CHAN WA,4.0,523,85,15,417,517,6,0,TEMIANG ,UNDI BIASA
32,128/12/02,SEKOLAH MEN JENIS KEBANGSAAN (CINA) CHAN WA,5.0,526,109,31,380,520,6,0,TEMIANG ,UNDI BIASA
32,128/12/02,SEKOLAH MEN JENIS KEBANGSAAN (CINA) CHAN WA,6.0,481,96,32,350,478,3,0,TEMIANG ,UNDI BIASA
33,128/12/03,SEKOLAH KEBANGSAAN TEMIANG,1.0,258,41,2,205,248,10,0,LIMBOK ,UNDI BIASA
33,128/12/03,SEKOLAH KEBANGSAAN TEMIANG,2.0,507,61,1,444,506,1,0,LIMBOK ,UNDI BIASA
33,128/12/03,SEKOLAH KEBANGSAAN TEMIANG,3.0,516,49,3,461,513,3,0,LIMBOK ,UNDI BIASA
34,128/12/04,SEKOLAH KEBANGSAAN SERI KELANA,1.0,236,66,7,160,233,3,0,JALAN YAZID AHMAD ,UNDI BIASA
34,128/12/04,SEKOLAH KEBANGSAAN SERI KELANA,2.0,257,67,37,151,255,2,0,JALAN YAZID AHMAD ,UNDI BIASA
35,128/12/05,SEKOLAH KEBANGSAAN DATO KLANA MAAMOR,1.0,215,32,10,171,213,2,0,JALAN HAN HUI FOONG ,UNDI BIASA
