Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUSTAFA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHAIRY JAMALUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LT KOL ROSELI BIN ABDUL GANI (B),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
27,131/26/12,SEKOLAH KEBANGSAAN KUNDOR,3.0,541,61,295,182,538,3,0,KUNDOR ,UNDI BIASA
28,131/27/01,SEKOLAH MENENGAH KEBANGSAAN (FELDA) SERI SENDAYAN,1.0,301,26,172,99,297,4,0,KAMPONG SENDAYAN ,UNDI BIASA
28,131/27/01,SEKOLAH MENENGAH KEBANGSAAN (FELDA) SERI SENDAYAN,2.0,277,25,96,155,276,1,0,KAMPONG SENDAYAN ,UNDI BIASA
29,131/27/02,SEKOLAH KEBANGSAAN SENDAYAN,1.0,268,12,170,69,251,17,0,SENDAYAN ,UNDI BIASA
29,131/27/02,SEKOLAH KEBANGSAAN SENDAYAN,2.0,503,24,288,176,488,15,0,SENDAYAN ,UNDI BIASA
29,131/27/02,SEKOLAH KEBANGSAAN SENDAYAN,3.0,494,37,269,184,490,4,0,SENDAYAN ,UNDI BIASA
29,131/27/02,SEKOLAH KEBANGSAAN SENDAYAN,4.0,470,37,197,234,468,2,0,SENDAYAN ,UNDI BIASA
29,131/27/02,SEKOLAH KEBANGSAAN SENDAYAN,5.0,469,35,196,238,469,0,0,SENDAYAN ,UNDI BIASA
30,131/27/03,DEWAN ORANG RAMAI TAMAN KELAB TUANKU MAMBAU,1.0,326,13,194,112,319,7,0,TAMAN KELAB TUANKU ,UNDI BIASA
30,131/27/03,DEWAN ORANG RAMAI TAMAN KELAB TUANKU MAMBAU,2.0,527,25,229,261,515,12,0,TAMAN KELAB TUANKU ,UNDI BIASA
30,131/27/03,DEWAN ORANG RAMAI TAMAN KELAB TUANKU MAMBAU,3.0,484,24,215,244,483,1,0,TAMAN KELAB TUANKU ,UNDI BIASA
31,131/27/04,SEKOLAH KEBANGSAAN MAMBAU,1.0,453,25,209,213,447,6,0,KAMPONG MAMBAU ,UNDI BIASA
32,131/27/05,BALAI RAYA KAMPUNG BEMBAN SEREMBAN,1.0,479,53,274,142,469,10,0,KAMPONG BEMBAN ,UNDI BIASA
33,131/27/06,SEKOLAH KEBANGSAAN NYATOH,1.0,281,6,152,112,270,11,0,KUALA SAWAH ,UNDI BIASA
33,131/27/06,SEKOLAH KEBANGSAAN NYATOH,2.0,467,10,199,245,454,13,0,KUALA SAWAH ,UNDI BIASA
