Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ KHAIRIL ANUAR WAFA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NG KIAN NAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DAVID DASS ASEERPATHAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHA KEE CHIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
21,130/21/10,SEKOLAH KEBANGSAAN WAWASAN / SEKOLAH JENIS KEBANGSAAN (TAMIL) CONVENT SEREMBAN,4.0,606,54,83,0,457,594,12,0,SEREMBAN 2 ,UNDI BIASA
21,130/21/10,SEKOLAH KEBANGSAAN WAWASAN / SEKOLAH JENIS KEBANGSAAN (TAMIL) CONVENT SEREMBAN,5.0,613,83,72,1,452,608,5,0,SEREMBAN 2 ,UNDI BIASA
21,130/21/10,SEKOLAH KEBANGSAAN WAWASAN / SEKOLAH JENIS KEBANGSAAN (TAMIL) CONVENT SEREMBAN,6.0,601,68,66,1,455,590,11,0,SEREMBAN 2 ,UNDI BIASA
21,130/21/10,SEKOLAH KEBANGSAAN WAWASAN / SEKOLAH JENIS KEBANGSAAN (TAMIL) CONVENT SEREMBAN,7.0,603,68,67,4,458,597,6,0,SEREMBAN 2 ,UNDI BIASA
21,130/21/10,SEKOLAH KEBANGSAAN WAWASAN / SEKOLAH JENIS KEBANGSAAN (TAMIL) CONVENT SEREMBAN,8.0,599,70,72,0,453,595,3,1,SEREMBAN 2 ,UNDI BIASA
21,130/21/10,SEKOLAH KEBANGSAAN WAWASAN / SEKOLAH JENIS KEBANGSAAN (TAMIL) CONVENT SEREMBAN,9.0,583,70,61,2,447,580,3,0,SEREMBAN 2 ,UNDI BIASA
21,130/21/10,SEKOLAH KEBANGSAAN WAWASAN / SEKOLAH JENIS KEBANGSAAN (TAMIL) CONVENT SEREMBAN,10.0,552,52,59,0,440,551,0,1,SEREMBAN 2 ,UNDI BIASA
21,130/21/10,SEKOLAH KEBANGSAAN WAWASAN / SEKOLAH JENIS KEBANGSAAN (TAMIL) CONVENT SEREMBAN,11.0,542,59,52,0,427,538,4,0,SEREMBAN 2 ,UNDI BIASA
21,130/21/10,SEKOLAH KEBANGSAAN WAWASAN / SEKOLAH JENIS KEBANGSAAN (TAMIL) CONVENT SEREMBAN,12.0,544,62,61,1,418,542,2,0,SEREMBAN 2 ,UNDI BIASA
21,130/21/10,SEKOLAH KEBANGSAAN WAWASAN / SEKOLAH JENIS KEBANGSAAN (TAMIL) CONVENT SEREMBAN,13.0,581,68,76,0,433,577,4,0,SEREMBAN 2 ,UNDI BIASA
21,130/21/10,SEKOLAH KEBANGSAAN WAWASAN / SEKOLAH JENIS KEBANGSAAN (TAMIL) CONVENT SEREMBAN,14.0,562,81,68,1,409,559,3,0,SEREMBAN 2 ,UNDI BIASA
22,130/22/01,SEKOLAH MENENGAH KEBANGSAAN KING GEORGE V,1.0,403,11,32,0,352,395,8,0,RAHANG ,UNDI BIASA
23,130/22/02,SEKOLAH KEBANGSAAN RAHANG,1.0,229,3,27,3,192,225,3,1,RAHANG TIMOR ,UNDI BIASA
23,130/22/02,SEKOLAH KEBANGSAAN RAHANG,2.0,379,5,36,2,334,377,2,0,RAHANG TIMOR ,UNDI BIASA
23,130/22/02,SEKOLAH KEBANGSAAN RAHANG,3.0,386,17,33,2,329,381,5,0,RAHANG TIMOR ,UNDI BIASA
24,130/22/03,SEKOLAH JENIS KEBANGSAAN (CINA) KELPIN SEREMBAN,1.0,433,8,40,0,378,426,7,0,PEKAN RAHANG ,UNDI BIASA
25,130/22/04,KOLEJ PEMBANTU PERUBATAN SEREMBAN,1.0,194,11,41,6,129,187,7,0,PEKAN RASAH ,UNDI BIASA
25,130/22/04,KOLEJ PEMBANTU PERUBATAN SEREMBAN,2.0,417,12,83,1,314,410,7,0,PEKAN RASAH ,UNDI BIASA
25,130/22/04,KOLEJ PEMBANTU PERUBATAN SEREMBAN,3.0,420,17,67,2,333,419,1,0,PEKAN RASAH ,UNDI BIASA
25,130/22/04,KOLEJ PEMBANTU PERUBATAN SEREMBAN,4.0,431,22,47,1,355,425,6,0,PEKAN RASAH ,UNDI BIASA
25,130/22/04,KOLEJ PEMBANTU PERUBATAN SEREMBAN,5.0,450,27,49,0,372,448,2,0,PEKAN RASAH ,UNDI BIASA
26,130/22/05,SEKOLAH JENIS KEBANGSAAN (CINA) MA HWA KG. BARU RASAH,1.0,236,5,57,1,159,222,14,0,KAMPONG BAHRU RASAH ,UNDI BIASA
26,130/22/05,SEKOLAH JENIS KEBANGSAAN (CINA) MA HWA KG. BARU RASAH,2.0,575,9,86,2,472,569,6,0,KAMPONG BAHRU RASAH ,UNDI BIASA
26,130/22/05,SEKOLAH JENIS KEBANGSAAN (CINA) MA HWA KG. BARU RASAH,3.0,585,12,54,2,512,580,5,0,KAMPONG BAHRU RASAH ,UNDI BIASA
26,130/22/05,SEKOLAH JENIS KEBANGSAAN (CINA) MA HWA KG. BARU RASAH,4.0,586,4,30,1,545,580,6,0,KAMPONG BAHRU RASAH ,UNDI BIASA
26,130/22/05,SEKOLAH JENIS KEBANGSAAN (CINA) MA HWA KG. BARU RASAH,5.0,584,5,24,1,549,579,5,0,KAMPONG BAHRU RASAH ,UNDI BIASA
27,130/22/06,SEKOLAH AGAMA RAKYAT DARUL HIKMAH TAMAN BUKIT CHEDANG SEREMBAN,1.0,297,46,116,1,129,292,5,0,TAMAN BUKIT CHEDANG ,UNDI BIASA
27,130/22/06,SEKOLAH AGAMA RAKYAT DARUL HIKMAH TAMAN BUKIT CHEDANG SEREMBAN,2.0,502,116,139,1,240,496,6,0,TAMAN BUKIT CHEDANG ,UNDI BIASA
27,130/22/06,SEKOLAH AGAMA RAKYAT DARUL HIKMAH TAMAN BUKIT CHEDANG SEREMBAN,3.0,474,121,114,1,238,474,0,0,TAMAN BUKIT CHEDANG ,UNDI BIASA
27,130/22/06,SEKOLAH AGAMA RAKYAT DARUL HIKMAH TAMAN BUKIT CHEDANG SEREMBAN,4.0,479,122,91,0,265,478,1,0,TAMAN BUKIT CHEDANG ,UNDI BIASA
28,130/22/07,SEKOLAH KEBANGSAAN DATO' BANDAR RASAH,5.0,260,8,53,2,192,255,5,0,KAMPONG PONDOK ,UNDI BIASA
28,130/22/07,SEKOLAH KEBANGSAAN DATO' BANDAR RASAH,6.0,519,32,52,0,430,514,5,0,KAMPONG PONDOK ,UNDI BIASA
29,130/22/08,SEKOLAH MENENGAH KEBANGSAAN BUKIT MEWAH,1.0,240,2,47,0,185,234,6,0,JALAN TOK UNGKU ,UNDI BIASA
29,130/22/08,SEKOLAH MENENGAH KEBANGSAAN BUKIT MEWAH,2.0,552,9,85,0,454,548,4,0,JALAN TOK UNGKU ,UNDI BIASA
29,130/22/08,SEKOLAH MENENGAH KEBANGSAAN BUKIT MEWAH,3.0,585,18,64,1,498,581,2,2,JALAN TOK UNGKU ,UNDI BIASA
30,130/22/09,SEKOLAH KEBANGSAAN DATO' BANDAR RASAH,1.0,252,11,80,4,151,246,6,0,KAMPONG DATOK MANSOR ,UNDI BIASA
30,130/22/09,SEKOLAH KEBANGSAAN DATO' BANDAR RASAH,2.0,579,35,123,4,407,569,10,0,KAMPONG DATOK MANSOR ,UNDI BIASA
30,130/22/09,SEKOLAH KEBANGSAAN DATO' BANDAR RASAH,3.0,556,54,91,5,403,553,3,0,KAMPONG DATOK MANSOR ,UNDI BIASA
30,130/22/09,SEKOLAH KEBANGSAAN DATO' BANDAR RASAH,4.0,586,67,70,2,446,585,0,1,KAMPONG DATOK MANSOR ,UNDI BIASA
31,130/23/01,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU MAMBAU,1.0,276,11,94,3,157,265,11,0,DESA SRI MAMBAU ,UNDI BIASA
31,130/23/01,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU MAMBAU,2.0,492,17,116,1,354,488,4,0,DESA SRI MAMBAU ,UNDI BIASA
31,130/23/01,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU MAMBAU,3.0,516,17,92,0,401,510,6,0,DESA SRI MAMBAU ,UNDI BIASA
31,130/23/01,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU MAMBAU,4.0,502,26,60,2,411,499,3,0,DESA SRI MAMBAU ,UNDI BIASA
31,130/23/01,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU MAMBAU,5.0,498,27,59,1,408,495,3,0,DESA SRI MAMBAU ,UNDI BIASA
31,130/23/01,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU MAMBAU,6.0,525,32,75,2,415,524,1,0,DESA SRI MAMBAU ,UNDI BIASA
32,130/23/02,SEKOLAH MENENGAH KEBANGSAAN SEREMBAN 3,1.0,257,11,56,4,181,252,5,0,TAMAN SUNGAI UJONG ,UNDI BIASA
32,130/23/02,SEKOLAH MENENGAH KEBANGSAAN SEREMBAN 3,2.0,489,19,67,1,401,488,1,0,TAMAN SUNGAI UJONG ,UNDI BIASA
32,130/23/02,SEKOLAH MENENGAH KEBANGSAAN SEREMBAN 3,3.0,495,22,40,3,428,493,2,0,TAMAN SUNGAI UJONG ,UNDI BIASA
32,130/23/02,SEKOLAH MENENGAH KEBANGSAAN SEREMBAN 3,4.0,486,21,36,1,425,483,3,0,TAMAN SUNGAI UJONG ,UNDI BIASA
33,130/23/03,BALAIRAYA KG. MAMBAU,1.0,263,7,50,2,192,251,11,1,PEKAN MAMBAU ,UNDI BIASA
33,130/23/03,BALAIRAYA KG. MAMBAU,2.0,293,22,41,2,227,292,1,0,PEKAN MAMBAU ,UNDI BIASA
34,130/23/04,SEKOLAH KEBANGSAAN TAMAN RASAH JAYA,1.0,257,10,67,0,173,250,7,0,RASAH JAYA ,UNDI BIASA
34,130/23/04,SEKOLAH KEBANGSAAN TAMAN RASAH JAYA,2.0,565,43,118,1,397,559,6,0,RASAH JAYA ,UNDI BIASA
34,130/23/04,SEKOLAH KEBANGSAAN TAMAN RASAH JAYA,3.0,579,42,106,3,423,574,5,0,RASAH JAYA ,UNDI BIASA
34,130/23/04,SEKOLAH KEBANGSAAN TAMAN RASAH JAYA,4.0,563,33,72,1,451,557,5,1,RASAH JAYA ,UNDI BIASA
34,130/23/04,SEKOLAH KEBANGSAAN TAMAN RASAH JAYA,5.0,560,20,61,1,469,551,9,0,RASAH JAYA ,UNDI BIASA
34,130/23/04,SEKOLAH KEBANGSAAN TAMAN RASAH JAYA,6.0,540,18,48,4,467,537,3,0,RASAH JAYA ,UNDI BIASA
34,130/23/04,SEKOLAH KEBANGSAAN TAMAN RASAH JAYA,7.0,539,38,40,1,455,534,5,0,RASAH JAYA ,UNDI BIASA
34,130/23/04,SEKOLAH KEBANGSAAN TAMAN RASAH JAYA,8.0,548,31,54,1,458,544,4,0,RASAH JAYA ,UNDI BIASA
34,130/23/04,SEKOLAH KEBANGSAAN TAMAN RASAH JAYA,9.0,543,43,60,1,439,543,0,0,RASAH JAYA ,UNDI BIASA
34,130/23/04,SEKOLAH KEBANGSAAN TAMAN RASAH JAYA,10.0,544,40,50,2,450,542,2,0,RASAH JAYA ,UNDI BIASA
34,130/23/04,SEKOLAH KEBANGSAAN TAMAN RASAH JAYA,11.0,522,52,45,0,419,516,6,0,RASAH JAYA ,UNDI BIASA
34,130/23/04,SEKOLAH KEBANGSAAN TAMAN RASAH JAYA,12.0,530,42,46,1,438,527,3,0,RASAH JAYA ,UNDI BIASA
34,130/23/04,SEKOLAH KEBANGSAAN TAMAN RASAH JAYA,13.0,580,72,36,0,471,579,1,0,RASAH JAYA ,UNDI BIASA
35,130/23/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIN HUA,1.0,265,7,44,4,205,260,5,0,BUKIT BLOSSOM ,UNDI BIASA
35,130/23/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIN HUA,2.0,609,11,72,4,518,605,2,2,BUKIT BLOSSOM ,UNDI BIASA
35,130/23/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIN HUA,3.0,609,7,52,1,542,602,7,0,BUKIT BLOSSOM ,UNDI BIASA
35,130/23/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIN HUA,4.0,602,4,43,1,549,597,5,0,BUKIT BLOSSOM ,UNDI BIASA
35,130/23/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIN HUA,5.0,589,2,38,2,540,582,7,0,BUKIT BLOSSOM ,UNDI BIASA
35,130/23/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIN HUA,6.0,589,6,24,0,557,587,2,0,BUKIT BLOSSOM ,UNDI BIASA
35,130/23/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIN HUA,7.0,580,6,29,0,544,579,1,0,BUKIT BLOSSOM ,UNDI BIASA
35,130/23/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIN HUA,8.0,576,8,16,1,548,573,3,0,BUKIT BLOSSOM ,UNDI BIASA
35,130/23/05,SEKOLAH JENIS KEBANGSAAN (CINA) SIN HUA,9.0,573,5,12,1,552,570,3,0,BUKIT BLOSSOM ,UNDI BIASA
