Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ABE WAE - REDZUAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KAK JAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) WAN AHMAD NASRI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK MARZUK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR. HAFIZ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
31,020/07/07,SEKOLAH KEBANGSAAN CHICHA MENYABONG,2,472,1,25,2,340,102,470,2,0,PULAU BELANGA ,UNDI BIASA,PULAU BELANGA 020/07/07
31,020/07/07,SEKOLAH KEBANGSAAN CHICHA MENYABONG,3,403,2,19,1,318,62,402,1,0,PULAU BELANGA ,UNDI BIASA,PULAU BELANGA 020/07/07
31,020/07/07,SEKOLAH KEBANGSAAN CHICHA MENYABONG,4,411,4,21,1,314,67,407,4,0,PULAU BELANGA ,UNDI BIASA,PULAU BELANGA 020/07/07
31,020/07/07,SEKOLAH KEBANGSAAN CHICHA MENYABONG,5,466,0,37,1,329,89,456,10,0,PULAU BELANGA ,UNDI BIASA,PULAU BELANGA 020/07/07
32,020/07/08,SEKOLAH MENENGAH KEBANGSAAN RAJA SAKTI,1,351,5,20,3,232,83,343,8,0,TOK KU ,UNDI BIASA,TOK KU 020/07/08
32,020/07/08,SEKOLAH MENENGAH KEBANGSAAN RAJA SAKTI,2,373,4,23,2,268,74,371,2,0,TOK KU ,UNDI BIASA,TOK KU 020/07/08
32,020/07/08,SEKOLAH MENENGAH KEBANGSAAN RAJA SAKTI,3,436,1,27,2,323,79,432,4,0,TOK KU ,UNDI BIASA,TOK KU 020/07/08
32,020/07/08,SEKOLAH MENENGAH KEBANGSAAN RAJA SAKTI,4,398,4,25,1,306,59,395,3,0,TOK KU ,UNDI BIASA,TOK KU 020/07/08
32,020/07/08,SEKOLAH MENENGAH KEBANGSAAN RAJA SAKTI,5,406,2,38,3,280,82,405,1,0,TOK KU ,UNDI BIASA,TOK KU 020/07/08
32,020/07/08,SEKOLAH MENENGAH KEBANGSAAN RAJA SAKTI,6,484,2,36,1,367,73,479,5,0,TOK KU ,UNDI BIASA,TOK KU 020/07/08
33,020/07/09,SEKOLAH MENENGAH KEBANGSAAN PANJI,1,333,0,32,2,216,82,332,1,0,KAMPUNG BELUKAR ,UNDI BIASA,KAMPUNG BELUKAR 020/07/09
33,020/07/09,SEKOLAH MENENGAH KEBANGSAAN PANJI,2,366,1,46,0,240,73,360,6,0,KAMPUNG BELUKAR ,UNDI BIASA,KAMPUNG BELUKAR 020/07/09
33,020/07/09,SEKOLAH MENENGAH KEBANGSAAN PANJI,3,462,1,59,4,335,56,455,7,0,KAMPUNG BELUKAR ,UNDI BIASA,KAMPUNG BELUKAR 020/07/09
33,020/07/09,SEKOLAH MENENGAH KEBANGSAAN PANJI,4,442,4,57,3,318,54,436,6,0,KAMPUNG BELUKAR ,UNDI BIASA,KAMPUNG BELUKAR 020/07/09
33,020/07/09,SEKOLAH MENENGAH KEBANGSAAN PANJI,5,452,3,85,3,305,54,450,2,0,KAMPUNG BELUKAR ,UNDI BIASA,KAMPUNG BELUKAR 020/07/09
33,020/07/09,SEKOLAH MENENGAH KEBANGSAAN PANJI,6,550,3,90,4,381,70,548,2,0,KAMPUNG BELUKAR ,UNDI BIASA,KAMPUNG BELUKAR 020/07/09
34,020/07/10,SMU (A) TARBIAH MARDZIAH PANCHOR,1,294,4,32,3,151,100,290,4,0,PADANG TEMBAK ,UNDI BIASA,PADANG TEMBAK 020/07/10
34,020/07/10,SMU (A) TARBIAH MARDZIAH PANCHOR,2,334,4,39,0,196,93,332,2,0,PADANG TEMBAK ,UNDI BIASA,PADANG TEMBAK 020/07/10
34,020/07/10,SMU (A) TARBIAH MARDZIAH PANCHOR,3,489,4,42,6,339,97,488,1,0,PADANG TEMBAK ,UNDI BIASA,PADANG TEMBAK 020/07/10
34,020/07/10,SMU (A) TARBIAH MARDZIAH PANCHOR,4,424,6,28,2,319,64,419,5,0,PADANG TEMBAK ,UNDI BIASA,PADANG TEMBAK 020/07/10
34,020/07/10,SMU (A) TARBIAH MARDZIAH PANCHOR,5,415,4,41,4,298,66,413,2,0,PADANG TEMBAK ,UNDI BIASA,PADANG TEMBAK 020/07/10
34,020/07/10,SMU (A) TARBIAH MARDZIAH PANCHOR,6,409,9,36,5,277,80,407,2,0,PADANG TEMBAK ,UNDI BIASA,PADANG TEMBAK 020/07/10
34,020/07/10,SMU (A) TARBIAH MARDZIAH PANCHOR,7,421,6,44,4,293,73,420,1,0,PADANG TEMBAK ,UNDI BIASA,PADANG TEMBAK 020/07/10
34,020/07/10,SMU (A) TARBIAH MARDZIAH PANCHOR,8,456,5,44,1,320,84,454,2,0,PADANG TEMBAK ,UNDI BIASA,PADANG TEMBAK 020/07/10
34,020/07/10,SMU (A) TARBIAH MARDZIAH PANCHOR,9,530,3,61,0,373,90,527,3,0,PADANG TEMBAK ,UNDI BIASA,PADANG TEMBAK 020/07/10
35,020/07/11,SEKOLAH MENENGAH KEBANGSAAN PANCHOR PERDANA,1,297,1,24,1,161,105,292,5,0,PANJI ,UNDI BIASA,PANJI 020/07/11
35,020/07/11,SEKOLAH MENENGAH KEBANGSAAN PANCHOR PERDANA,2,492,0,41,4,315,127,487,5,0,PANJI ,UNDI BIASA,PANJI 020/07/11
35,020/07/11,SEKOLAH MENENGAH KEBANGSAAN PANCHOR PERDANA,3,419,1,47,2,276,91,417,2,0,PANJI ,UNDI BIASA,PANJI 020/07/11
35,020/07/11,SEKOLAH MENENGAH KEBANGSAAN PANCHOR PERDANA,4,427,5,59,2,270,89,425,2,0,PANJI ,UNDI BIASA,PANJI 020/07/11
35,020/07/11,SEKOLAH MENENGAH KEBANGSAAN PANCHOR PERDANA,5,462,1,69,1,277,112,460,2,0,PANJI ,UNDI BIASA,PANJI 020/07/11
35,020/07/11,SEKOLAH MENENGAH KEBANGSAAN PANCHOR PERDANA,6,529,4,53,4,370,98,529,0,0,PANJI ,UNDI BIASA,PANJI 020/07/11
36,020/07/12,SEKOLAH KEBANGSAAN RAJA BAHAR,1,371,2,20,3,259,85,369,2,0,PASIR TOK KAMBING ,UNDI BIASA,PASIR TOK KAMBING 020/07/12
36,020/07/12,SEKOLAH KEBANGSAAN RAJA BAHAR,2,346,0,24,0,271,50,345,1,0,PASIR TOK KAMBING ,UNDI BIASA,PASIR TOK KAMBING 020/07/12
36,020/07/12,SEKOLAH KEBANGSAAN RAJA BAHAR,3,409,1,37,3,298,67,406,3,0,PASIR TOK KAMBING ,UNDI BIASA,PASIR TOK KAMBING 020/07/12
,,,,,,,,,,,,,,,
JUMLAH,JUMLAH,JUMLAH,184,78659,451,7356,358,53933,15663,77761,630,268,END,END,END
