P.006_N.05_006/05/16_1,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/16,PULAU PISANG ,"SEKOLAH KEBANGSAAN PULAU NYIOR, JITRA",1,351
P.006_N.05_006/05/16_2,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/16,PULAU PISANG ,"SEKOLAH KEBANGSAAN PULAU NYIOR, JITRA",2,538
P.006_N.05_006/05/16_3,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/16,PULAU PISANG ,"SEKOLAH KEBANGSAAN PULAU NYIOR, JITRA",3,528
P.006_N.05_006/05/17_1,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/17,PEKAN TUNJANG ,"SEKOLAH KEBANGSAAN TUNJANG, JITRA",1,288
P.006_N.05_006/05/17_2,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/17,PEKAN TUNJANG ,"SEKOLAH KEBANGSAAN TUNJANG, JITRA",2,317
P.006_N.05_006/05/17_3,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/17,PEKAN TUNJANG ,"SEKOLAH KEBANGSAAN TUNJANG, JITRA",3,329
P.006_N.05_006/05/17_4,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/17,PEKAN TUNJANG ,"SEKOLAH KEBANGSAAN TUNJANG, JITRA",4,334
P.006_N.05_006/05/18_1,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/18,PULAU TIMBOL ,"SEKOLAH KEBANGSAAN HAKIM TEH, PULAU TIMBUL",1,321
P.006_N.05_006/05/18_2,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/18,PULAU TIMBOL ,"SEKOLAH KEBANGSAAN HAKIM TEH, PULAU TIMBUL",2,383
P.006_N.05_006/05/18_3,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/18,PULAU TIMBOL ,"SEKOLAH KEBANGSAAN HAKIM TEH, PULAU TIMBUL",3,436
P.006_N.05_006/05/18_4,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/18,PULAU TIMBOL ,"SEKOLAH KEBANGSAAN HAKIM TEH, PULAU TIMBUL",4,462
