Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' DR. IBRAHIM ALI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KAK LAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK ZAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) PROF UST ZUL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR SHAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
18,023/15/02,SEKOLAH KEBANGSAAN GUAL PERIOK,2,328,2,204,0,104,18,328,0,0,KEDAI GUAL PERIOK ,UNDI BIASA,KEDAI GUAL PERIOK 023/15/02
18,023/15/02,SEKOLAH KEBANGSAAN GUAL PERIOK,3,325,3,226,0,75,18,322,3,0,KEDAI GUAL PERIOK ,UNDI BIASA,KEDAI GUAL PERIOK 023/15/02
19,023/15/03,SEKOLAH KEBANGSAAN GUAL SITOK,1,327,8,160,1,143,9,321,6,0,GUAL SITOK ,UNDI BIASA,GUAL SITOK 023/15/03
19,023/15/03,SEKOLAH KEBANGSAAN GUAL SITOK,2,349,6,162,0,170,9,347,2,0,GUAL SITOK ,UNDI BIASA,GUAL SITOK 023/15/03
19,023/15/03,SEKOLAH KEBANGSAAN GUAL SITOK,3,394,8,229,1,132,17,387,7,0,GUAL SITOK ,UNDI BIASA,GUAL SITOK 023/15/03
19,023/15/03,SEKOLAH KEBANGSAAN GUAL SITOK,4,379,9,227,1,124,16,377,2,0,GUAL SITOK ,UNDI BIASA,GUAL SITOK 023/15/03
19,023/15/03,SEKOLAH KEBANGSAAN GUAL SITOK,5,397,9,237,1,137,13,397,0,0,GUAL SITOK ,UNDI BIASA,GUAL SITOK 023/15/03
19,023/15/03,SEKOLAH KEBANGSAAN GUAL SITOK,6,418,11,235,2,155,13,416,2,0,GUAL SITOK ,UNDI BIASA,GUAL SITOK 023/15/03
20,023/15/04,SEKOLAH KEBANGSAAN SRI RANTAU PANJANG (1),1,99,1,38,0,39,18,96,3,0,PEKAN RANTAU PANJANG ,UNDI BIASA,PEKAN RANTAU PANJANG 023/15/04
20,023/15/04,SEKOLAH KEBANGSAAN SRI RANTAU PANJANG (1),2,167,4,72,1,70,19,166,1,0,PEKAN RANTAU PANJANG ,UNDI BIASA,PEKAN RANTAU PANJANG 023/15/04
20,023/15/04,SEKOLAH KEBANGSAAN SRI RANTAU PANJANG (1),3,201,3,106,0,70,17,196,5,0,PEKAN RANTAU PANJANG ,UNDI BIASA,PEKAN RANTAU PANJANG 023/15/04
20,023/15/04,SEKOLAH KEBANGSAAN SRI RANTAU PANJANG (1),4,324,8,184,1,101,30,324,0,0,PEKAN RANTAU PANJANG ,UNDI BIASA,PEKAN RANTAU PANJANG 023/15/04
20,023/15/04,SEKOLAH KEBANGSAAN SRI RANTAU PANJANG (1),5,312,10,173,0,88,36,307,5,0,PEKAN RANTAU PANJANG ,UNDI BIASA,PEKAN RANTAU PANJANG 023/15/04
20,023/15/04,SEKOLAH KEBANGSAAN SRI RANTAU PANJANG (1),6,345,11,195,1,93,43,343,2,0,PEKAN RANTAU PANJANG ,UNDI BIASA,PEKAN RANTAU PANJANG 023/15/04
20,023/15/04,SEKOLAH KEBANGSAAN SRI RANTAU PANJANG (1),7,329,9,208,0,67,39,323,6,0,PEKAN RANTAU PANJANG ,UNDI BIASA,PEKAN RANTAU PANJANG 023/15/04
20,023/15/04,SEKOLAH KEBANGSAAN SRI RANTAU PANJANG (1),8,362,12,192,0,116,39,359,3,0,PEKAN RANTAU PANJANG ,UNDI BIASA,PEKAN RANTAU PANJANG 023/15/04
20,023/15/04,SEKOLAH KEBANGSAAN SRI RANTAU PANJANG (1),9,398,9,234,1,110,44,398,0,0,PEKAN RANTAU PANJANG ,UNDI BIASA,PEKAN RANTAU PANJANG 023/15/04
21,023/15/05,SEKOLAH KEBANGSAAN RANTAU PANJANG,1,134,1,65,2,45,21,134,0,0,KEDAI LAMA ,UNDI BIASA,KEDAI LAMA 023/15/05
21,023/15/05,SEKOLAH KEBANGSAAN RANTAU PANJANG,2,253,16,114,2,81,33,246,7,0,KEDAI LAMA ,UNDI BIASA,KEDAI LAMA 023/15/05
21,023/15/05,SEKOLAH KEBANGSAAN RANTAU PANJANG,3,325,10,187,1,83,38,319,6,0,KEDAI LAMA ,UNDI BIASA,KEDAI LAMA 023/15/05
21,023/15/05,SEKOLAH KEBANGSAAN RANTAU PANJANG,4,318,4,198,3,86,22,313,5,0,KEDAI LAMA ,UNDI BIASA,KEDAI LAMA 023/15/05
22,023/15/06,MAAHAD MUHAMMADI RANTAU PANJANG,1,158,3,100,2,45,8,158,0,0,BANGGOL KULIM ,UNDI BIASA,BANGGOL KULIM 023/15/06
22,023/15/06,MAAHAD MUHAMMADI RANTAU PANJANG,2,195,14,108,0,56,13,191,4,0,BANGGOL KULIM ,UNDI BIASA,BANGGOL KULIM 023/15/06
22,023/15/06,MAAHAD MUHAMMADI RANTAU PANJANG,3,231,11,135,0,59,17,222,9,0,BANGGOL KULIM ,UNDI BIASA,BANGGOL KULIM 023/15/06
22,023/15/06,MAAHAD MUHAMMADI RANTAU PANJANG,4,353,12,235,1,79,25,352,1,0,BANGGOL KULIM ,UNDI BIASA,BANGGOL KULIM 023/15/06
22,023/15/06,MAAHAD MUHAMMADI RANTAU PANJANG,5,331,10,211,0,70,38,329,2,0,BANGGOL KULIM ,UNDI BIASA,BANGGOL KULIM 023/15/06
22,023/15/06,MAAHAD MUHAMMADI RANTAU PANJANG,6,372,12,221,2,100,29,364,8,0,BANGGOL KULIM ,UNDI BIASA,BANGGOL KULIM 023/15/06
22,023/15/06,MAAHAD MUHAMMADI RANTAU PANJANG,7,349,8,219,0,77,44,348,1,0,BANGGOL KULIM ,UNDI BIASA,BANGGOL KULIM 023/15/06
22,023/15/06,MAAHAD MUHAMMADI RANTAU PANJANG,8,362,12,227,1,82,39,361,1,0,BANGGOL KULIM ,UNDI BIASA,BANGGOL KULIM 023/15/06
22,023/15/06,MAAHAD MUHAMMADI RANTAU PANJANG,9,341,10,228,1,61,38,338,3,0,BANGGOL KULIM ,UNDI BIASA,BANGGOL KULIM 023/15/06
22,023/15/06,MAAHAD MUHAMMADI RANTAU PANJANG,10,438,9,279,1,101,48,438,0,0,BANGGOL KULIM ,UNDI BIASA,BANGGOL KULIM 023/15/06
22,023/15/06,MAAHAD MUHAMMADI RANTAU PANJANG,11,461,10,316,1,97,35,459,2,0,BANGGOL KULIM ,UNDI BIASA,BANGGOL KULIM 023/15/06
23,023/15/07,SEKOLAH MENENGAH KEBANGSAAN GUAL PERIOK,1,291,9,151,0,115,10,285,6,0,BAKAT ,UNDI BIASA,BAKAT 023/15/07
23,023/15/07,SEKOLAH MENENGAH KEBANGSAAN GUAL PERIOK,2,320,10,177,0,116,9,312,8,0,BAKAT ,UNDI BIASA,BAKAT 023/15/07
23,023/15/07,SEKOLAH MENENGAH KEBANGSAAN GUAL PERIOK,3,411,16,238,0,132,22,408,3,0,BAKAT ,UNDI BIASA,BAKAT 023/15/07
23,023/15/07,SEKOLAH MENENGAH KEBANGSAAN GUAL PERIOK,4,414,8,256,1,132,15,412,2,0,BAKAT ,UNDI BIASA,BAKAT 023/15/07
23,023/15/07,SEKOLAH MENENGAH KEBANGSAAN GUAL PERIOK,5,460,6,308,1,124,19,458,2,0,BAKAT ,UNDI BIASA,BAKAT 023/15/07
24,023/15/08,SEKOLAH KEBANGSAAN KUBANG KUAU,1,321,11,206,0,92,6,315,6,0,KUBANG KUAL ,UNDI BIASA,KUBANG KUAL 023/15/08
24,023/15/08,SEKOLAH KEBANGSAAN KUBANG KUAU,2,494,8,333,0,133,15,489,5,0,KUBANG KUAL ,UNDI BIASA,KUBANG KUAL 023/15/08
