Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) SYAHIR SULAIMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NOR AZMIZA MAMAT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HAJI ZU,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) CIKGU ZAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK HAJI ZAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
11,025/20/07,SEKOLAH KEBANGSAAN KOTA JEMBAL,8,445,338,28,0,0,66,432,13,0,TELOK MESIRA ,UNDI BIASA,TELOK MESIRA 025/20/07
12,025/20/08,SEKOLAH KEBANGSAAN PAUH SEMBILAN,1,308,173,10,1,2,118,304,4,0,PAUH SEMBILAN ,UNDI BIASA,PAUH SEMBILAN 025/20/08
12,025/20/08,SEKOLAH KEBANGSAAN PAUH SEMBILAN,2,379,209,24,2,0,141,376,3,0,PAUH SEMBILAN ,UNDI BIASA,PAUH SEMBILAN 025/20/08
12,025/20/08,SEKOLAH KEBANGSAAN PAUH SEMBILAN,3,517,332,18,3,2,160,515,2,0,PAUH SEMBILAN ,UNDI BIASA,PAUH SEMBILAN 025/20/08
12,025/20/08,SEKOLAH KEBANGSAAN PAUH SEMBILAN,4,438,300,15,1,0,119,435,3,0,PAUH SEMBILAN ,UNDI BIASA,PAUH SEMBILAN 025/20/08
12,025/20/08,SEKOLAH KEBANGSAAN PAUH SEMBILAN,5,433,320,18,0,2,82,422,11,0,PAUH SEMBILAN ,UNDI BIASA,PAUH SEMBILAN 025/20/08
12,025/20/08,SEKOLAH KEBANGSAAN PAUH SEMBILAN,6,436,295,15,4,0,117,431,5,0,PAUH SEMBILAN ,UNDI BIASA,PAUH SEMBILAN 025/20/08
12,025/20/08,SEKOLAH KEBANGSAAN PAUH SEMBILAN,7,449,314,20,4,1,107,446,3,0,PAUH SEMBILAN ,UNDI BIASA,PAUH SEMBILAN 025/20/08
12,025/20/08,SEKOLAH KEBANGSAAN PAUH SEMBILAN,8,542,378,22,3,1,136,540,2,0,PAUH SEMBILAN ,UNDI BIASA,PAUH SEMBILAN 025/20/08
13,025/20/09,SEKOLAH KEBANGSAAN PENGKALAN CHENGAL,1,371,234,22,2,0,108,366,5,0,TOK BELIAN ,UNDI BIASA,TOK BELIAN 025/20/09
13,025/20/09,SEKOLAH KEBANGSAAN PENGKALAN CHENGAL,2,394,251,23,1,1,118,394,0,0,TOK BELIAN ,UNDI BIASA,TOK BELIAN 025/20/09
13,025/20/09,SEKOLAH KEBANGSAAN PENGKALAN CHENGAL,3,384,277,20,1,0,83,381,3,0,TOK BELIAN ,UNDI BIASA,TOK BELIAN 025/20/09
13,025/20/09,SEKOLAH KEBANGSAAN PENGKALAN CHENGAL,4,442,300,27,1,0,113,441,1,0,TOK BELIAN ,UNDI BIASA,TOK BELIAN 025/20/09
14,025/20/10,SEKOLAH KEBANGSAAN TANJONG JENERA,1,337,165,7,0,1,158,331,6,0,TANJONG JERING ,UNDI BIASA,TANJONG JERING 025/20/10
14,025/20/10,SEKOLAH KEBANGSAAN TANJONG JENERA,2,326,193,9,0,0,123,325,1,0,TANJONG JERING ,UNDI BIASA,TANJONG JERING 025/20/10
14,025/20/10,SEKOLAH KEBANGSAAN TANJONG JENERA,3,339,183,12,1,0,143,339,0,0,TANJONG JERING ,UNDI BIASA,TANJONG JERING 025/20/10
15,025/20/11,SEKOLAH MENENGAH KEBANGSAAN LONG YUNUS,1,343,147,23,1,4,162,337,6,0,BERIS ,UNDI BIASA,BERIS 025/20/11
