Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) AIZUDDIN ARIFFIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) AMIRUDDIN HAMZAH (TOK MET),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HASMUNI BIN HASSAN (TOK MUNI),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
14,006/05/11,"SEKOLAH KEBANGSAAN GUAR NAPAI, KODIANG",2,349,227,37,31,54,349,0,0,GUAR NAPAI ,UNDI BIASA,GUAR NAPAI 006/05/11
15,006/05/12,"SEKOLAH KEBANGSAAN HOSBA, JITRA",1,310,129,66,14,93,302,8,0,HUSBA ,UNDI BIASA,HUSBA 006/05/12
15,006/05/12,"SEKOLAH KEBANGSAAN HOSBA, JITRA",2,357,201,93,14,45,353,4,0,HUSBA ,UNDI BIASA,HUSBA 006/05/12
15,006/05/12,"SEKOLAH KEBANGSAAN HOSBA, JITRA",3,356,215,82,8,50,355,1,0,HUSBA ,UNDI BIASA,HUSBA 006/05/12
16,006/05/13,"SEKOLAH KEBANGSAAN HOSBA, JITRA",4,334,107,55,30,134,326,8,0,KAMPUNG NAPOH ,UNDI BIASA,KAMPUNG NAPOH 006/05/13
16,006/05/13,"SEKOLAH KEBANGSAAN HOSBA, JITRA",5,376,169,60,30,110,369,7,0,KAMPUNG NAPOH ,UNDI BIASA,KAMPUNG NAPOH 006/05/13
16,006/05/13,"SEKOLAH KEBANGSAAN HOSBA, JITRA",6,352,190,50,30,81,351,1,0,KAMPUNG NAPOH ,UNDI BIASA,KAMPUNG NAPOH 006/05/13
16,006/05/13,"SEKOLAH KEBANGSAAN HOSBA, JITRA",7,389,244,59,16,70,389,0,0,KAMPUNG NAPOH ,UNDI BIASA,KAMPUNG NAPOH 006/05/13
17,006/05/14,PERTUBUHAN PELADANG KAWASAN ASUN,1,356,180,32,23,115,350,6,0,BINJAL ,UNDI BIASA,BINJAL 006/05/14
17,006/05/14,PERTUBUHAN PELADANG KAWASAN ASUN,2,518,352,35,31,98,516,2,0,BINJAL ,UNDI BIASA,BINJAL 006/05/14
17,006/05/14,PERTUBUHAN PELADANG KAWASAN ASUN,3,510,390,45,12,63,510,0,0,BINJAL ,UNDI BIASA,BINJAL 006/05/14
18,006/05/15,"SEKOLAH KEBANGSAAN GELONG, JITRA",1,353,153,59,47,81,340,13,0,KAMPUNG BEMBAN ,UNDI BIASA,KAMPUNG BEMBAN 006/05/15
18,006/05/15,"SEKOLAH KEBANGSAAN GELONG, JITRA",2,406,256,49,35,60,400,6,0,KAMPUNG BEMBAN ,UNDI BIASA,KAMPUNG BEMBAN 006/05/15
18,006/05/15,"SEKOLAH KEBANGSAAN GELONG, JITRA",3,408,290,61,25,31,407,1,0,KAMPUNG BEMBAN ,UNDI BIASA,KAMPUNG BEMBAN 006/05/15
