Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK HUSAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ FADHLI SHAARI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO GHANI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NASRUL ALI HASAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
15,022/11/11,SEKOLAH MENENGAH KEBANGSAAN TANJONG BUNGA,5,398,58,254,80,4,396,2,0,"KAMPUNG HUTAN PASIR
",UNDI BIASA,"KAMPUNG HUTAN PASIR
022/11/11"
16,022/11/12,SEKOLAH KEBANGSAAN OTHMAN TALIB (1),1,326,59,155,104,3,321,5,0,TENDONG ,UNDI BIASA,TENDONG 022/11/12
16,022/11/12,SEKOLAH KEBANGSAAN OTHMAN TALIB (1),2,365,64,193,98,7,362,3,0,TENDONG ,UNDI BIASA,TENDONG 022/11/12
16,022/11/12,SEKOLAH KEBANGSAAN OTHMAN TALIB (1),3,450,75,268,95,7,445,5,0,TENDONG ,UNDI BIASA,TENDONG 022/11/12
16,022/11/12,SEKOLAH KEBANGSAAN OTHMAN TALIB (1),4,385,51,241,79,8,379,6,0,TENDONG ,UNDI BIASA,TENDONG 022/11/12
16,022/11/12,SEKOLAH KEBANGSAAN OTHMAN TALIB (1),5,395,47,273,67,5,392,3,0,TENDONG ,UNDI BIASA,TENDONG 022/11/12
16,022/11/12,SEKOLAH KEBANGSAAN OTHMAN TALIB (1),6,418,69,270,72,5,416,2,0,TENDONG ,UNDI BIASA,TENDONG 022/11/12
16,022/11/12,SEKOLAH KEBANGSAAN OTHMAN TALIB (1),7,508,65,340,94,8,507,1,0,TENDONG ,UNDI BIASA,TENDONG 022/11/12
17,022/11/13,SEKOLAH MENENGAH KEBANGSAAN KEDONDONG,1,296,10,168,114,1,293,3,0,KEDONDONG ,UNDI BIASA,KEDONDONG 022/11/13
17,022/11/13,SEKOLAH MENENGAH KEBANGSAAN KEDONDONG,2,332,10,216,103,0,329,3,0,KEDONDONG ,UNDI BIASA,KEDONDONG 022/11/13
