UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 VOTE,INDEPENDENT 4,INDEPENDENT 4 CANDIDATE,INDEPENDENT 4 CANDIDATE GENDER,INDEPENDENT 4 CANDIDATE AGE,INDEPENDENT 4 VOTE,XXX,YYY,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,VERIFY
P.005_N.03_005/03/12_1,,NORMAL VOTE,P.005,JERLUN,N.03,KOTA SIPUTEH,005/03/12,TOK KEPAK,"SEKOLAH KEBANGSAAN TOK KEPAK, MEGAT DEWA",1,318,UMNO,OTHMAN BIN AZIZ,MALE,63,121,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,25,PAS,DR. ABD GHANI AHMAD,MALE,52,153,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,7,0,TRUE
P.005_N.03_005/03/12_2,,NORMAL VOTE,P.005,JERLUN,N.03,KOTA SIPUTEH,005/03/12,TOK KEPAK,"SEKOLAH KEBANGSAAN TOK KEPAK, MEGAT DEWA",2,308,UMNO,OTHMAN BIN AZIZ,MALE,63,83,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,18,PAS,DR. ABD GHANI AHMAD,MALE,52,195,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,3,0,TRUE
P.005_N.03_005/03/12_3,,NORMAL VOTE,P.005,JERLUN,N.03,KOTA SIPUTEH,005/03/12,TOK KEPAK,"SEKOLAH KEBANGSAAN TOK KEPAK, MEGAT DEWA",3,337,UMNO,OTHMAN BIN AZIZ,MALE,63,76,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,15,PAS,DR. ABD GHANI AHMAD,MALE,52,228,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,7,0,TRUE
P.005_N.03_005/03/13_1,,NORMAL VOTE,P.005,JERLUN,N.03,KOTA SIPUTEH,005/03/13,SG KOROK 2 MK SANGLANG,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",1,332,UMNO,OTHMAN BIN AZIZ,MALE,63,125,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,27,PAS,DR. ABD GHANI AHMAD,MALE,52,152,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,6,0,TRUE
P.005_N.03_005/03/13_2,,NORMAL VOTE,P.005,JERLUN,N.03,KOTA SIPUTEH,005/03/13,SG KOROK 2 MK SANGLANG,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",2,372,UMNO,OTHMAN BIN AZIZ,MALE,63,112,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,35,PAS,DR. ABD GHANI AHMAD,MALE,52,196,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,3,0,TRUE
P.005_N.03_005/03/13_3,,NORMAL VOTE,P.005,JERLUN,N.03,KOTA SIPUTEH,005/03/13,SG KOROK 2 MK SANGLANG,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",3,523,UMNO,OTHMAN BIN AZIZ,MALE,63,93,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,35,PAS,DR. ABD GHANI AHMAD,MALE,52,361,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523,0,0,TRUE
P.005_N.03_005/03/13_4,,NORMAL VOTE,P.005,JERLUN,N.03,KOTA SIPUTEH,005/03/13,SG KOROK 2 MK SANGLANG,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",4,565,UMNO,OTHMAN BIN AZIZ,MALE,63,88,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,34,PAS,DR. ABD GHANI AHMAD,MALE,52,415,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563,2,0,TRUE
P.005_N.03_005/03/14_5,,NORMAL VOTE,P.005,JERLUN,N.03,KOTA SIPUTEH,005/03/14,SG KOROK,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",5,194,UMNO,OTHMAN BIN AZIZ,MALE,63,47,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,12,PAS,DR. ABD GHANI AHMAD,MALE,52,100,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,14,0,TRUE
P.005_N.03_005/03/14_6,,NORMAL VOTE,P.005,JERLUN,N.03,KOTA SIPUTEH,005/03/14,SG KOROK,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",6,221,UMNO,OTHMAN BIN AZIZ,MALE,63,56,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,17,PAS,DR. ABD GHANI AHMAD,MALE,52,133,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,0,0,TRUE
P.005_N.03_005/03/15_1,,NORMAL VOTE,P.005,JERLUN,N.03,KOTA SIPUTEH,005/03/15,KAMPUNG SANGLANG,"SEKOLAH KEBANGSAAN SANGLANG, AYER HITAM",1,315,UMNO,OTHMAN BIN AZIZ,MALE,63,95,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,60,PAS,DR. ABD GHANI AHMAD,MALE,52,118,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,7,0,TRUE
P.005_N.03_005/03/15_2,,NORMAL VOTE,P.005,JERLUN,N.03,KOTA SIPUTEH,005/03/15,KAMPUNG SANGLANG,"SEKOLAH KEBANGSAAN SANGLANG, AYER HITAM",2,345,UMNO,OTHMAN BIN AZIZ,MALE,63,75,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,71,PAS,DR. ABD GHANI AHMAD,MALE,52,162,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,8,0,TRUE
P.005_N.03_005/03/15_3,,NORMAL VOTE,P.005,JERLUN,N.03,KOTA SIPUTEH,005/03/15,KAMPUNG SANGLANG,"SEKOLAH KEBANGSAAN SANGLANG, AYER HITAM",3,376,UMNO,OTHMAN BIN AZIZ,MALE,63,73,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,60,PAS,DR. ABD GHANI AHMAD,MALE,52,210,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,5,0,TRUE
P.005_N.03_005/03/15_4,,NORMAL VOTE,P.005,JERLUN,N.03,KOTA SIPUTEH,005/03/15,KAMPUNG SANGLANG,"SEKOLAH KEBANGSAAN SANGLANG, AYER HITAM",4,413,UMNO,OTHMAN BIN AZIZ,MALE,63,71,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,47,PAS,DR. ABD GHANI AHMAD,MALE,52,268,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,3,0,TRUE
P.005_N.03_005/03/16_1,,NORMAL VOTE,P.005,JERLUN,N.03,KOTA SIPUTEH,005/03/16,KERPAN,"SEKOLAH JENIS KEBANGSAAN (CINA) LAM MIN, KERPAN",1,360,UMNO,OTHMAN BIN AZIZ,MALE,63,137,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,64,PAS,DR. ABD GHANI AHMAD,MALE,52,126,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,7,0,TRUE
P.005_N.03_005/03/16_2,,NORMAL VOTE,P.005,JERLUN,N.03,KOTA SIPUTEH,005/03/16,KERPAN,"SEKOLAH JENIS KEBANGSAAN (CINA) LAM MIN, KERPAN",2,509,UMNO,OTHMAN BIN AZIZ,MALE,63,147,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,81,PAS,DR. ABD GHANI AHMAD,MALE,52,243,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503,6,0,TRUE
P.005_N.03_005/03/17_1,,NORMAL VOTE,P.005,JERLUN,N.03,KOTA SIPUTEH,005/03/17,KUALA SANGLANG,"SEKOLAH MENENGAH KEBANGSAAN SANGLANG, AYER HITAM",1,337,UMNO,OTHMAN BIN AZIZ,MALE,63,118,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,105,PAS,DR. ABD GHANI AHMAD,MALE,52,84,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,14,0,TRUE
P.005_N.03_005/03/17_2,,NORMAL VOTE,P.005,JERLUN,N.03,KOTA SIPUTEH,005/03/17,KUALA SANGLANG,"SEKOLAH MENENGAH KEBANGSAAN SANGLANG, AYER HITAM",2,481,UMNO,OTHMAN BIN AZIZ,MALE,63,106,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,102,PAS,DR. ABD GHANI AHMAD,MALE,52,242,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,5,0,TRUE
P.005_N.03_005/03/17_3,,NORMAL VOTE,P.005,JERLUN,N.03,KOTA SIPUTEH,005/03/17,KUALA SANGLANG,"SEKOLAH MENENGAH KEBANGSAAN SANGLANG, AYER HITAM",3,455,UMNO,OTHMAN BIN AZIZ,MALE,63,77,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,107,PAS,DR. ABD GHANI AHMAD,MALE,52,259,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454,1,0,TRUE
P.005_N.04_005/04/01_1,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/01,PADANG SERA,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI MIN, PADANG SERA",1,340,UMNO,OTHMAN BIN AZIZ,MALE,63,54,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,176,PAS,DR. ABD GHANI AHMAD,MALE,52,74,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,6,0,TRUE
P.005_N.04_005/04/01_2,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/01,PADANG SERA,"SEKOLAH JENIS KEBANGSAAN (CINA) PEI MIN, PADANG SERA",2,419,UMNO,OTHMAN BIN AZIZ,MALE,63,51,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,157,PAS,DR. ABD GHANI AHMAD,MALE,52,175,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417,2,0,TRUE
P.005_N.04_005/04/02_1,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/02,KAMPUNG MELELE,"SEKOLAH MENENGAH AGAMA NAHDHAH HASANAH MELELE, PADANG SERA",1,291,UMNO,OTHMAN BIN AZIZ,MALE,63,134,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,37,PAS,DR. ABD GHANI AHMAD,MALE,52,85,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,5,0,TRUE
P.005_N.04_005/04/02_2,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/02,KAMPUNG MELELE,"SEKOLAH MENENGAH AGAMA NAHDHAH HASANAH MELELE, PADANG SERA",2,374,UMNO,OTHMAN BIN AZIZ,MALE,63,121,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,85,PAS,DR. ABD GHANI AHMAD,MALE,52,113,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,9,0,TRUE
P.005_N.04_005/04/02_3,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/02,KAMPUNG MELELE,"SEKOLAH MENENGAH AGAMA NAHDHAH HASANAH MELELE, PADANG SERA",3,589,UMNO,OTHMAN BIN AZIZ,MALE,63,146,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,125,PAS,DR. ABD GHANI AHMAD,MALE,52,236,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586,3,0,TRUE
P.005_N.04_005/04/02_4,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/02,KAMPUNG MELELE,"SEKOLAH MENENGAH AGAMA NAHDHAH HASANAH MELELE, PADANG SERA",4,528,UMNO,OTHMAN BIN AZIZ,MALE,63,81,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,104,PAS,DR. ABD GHANI AHMAD,MALE,52,275,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,7,1,TRUE
P.005_N.04_005/04/02_5,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/02,KAMPUNG MELELE,"SEKOLAH MENENGAH AGAMA NAHDHAH HASANAH MELELE, PADANG SERA",5,492,UMNO,OTHMAN BIN AZIZ,MALE,63,74,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,104,PAS,DR. ABD GHANI AHMAD,MALE,52,270,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,2,0,TRUE
P.005_N.04_005/04/02_6,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/02,KAMPUNG MELELE,"SEKOLAH MENENGAH AGAMA NAHDHAH HASANAH MELELE, PADANG SERA",6,539,UMNO,OTHMAN BIN AZIZ,MALE,63,85,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,107,PAS,DR. ABD GHANI AHMAD,MALE,52,310,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539,0,0,TRUE
P.005_N.04_005/04/03_1,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/03,KAMPUNG PUTAT,"SEKOLAH KEBANGSAAN PUTAT, JITRA",1,349,UMNO,OTHMAN BIN AZIZ,MALE,63,145,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,42,PAS,DR. ABD GHANI AHMAD,MALE,52,137,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,7,0,TRUE
P.005_N.04_005/04/03_2,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/03,KAMPUNG PUTAT,"SEKOLAH KEBANGSAAN PUTAT, JITRA",2,361,UMNO,OTHMAN BIN AZIZ,MALE,63,130,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,39,PAS,DR. ABD GHANI AHMAD,MALE,52,163,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,3,0,TRUE
P.005_N.04_005/04/03_3,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/03,KAMPUNG PUTAT,"SEKOLAH KEBANGSAAN PUTAT, JITRA",3,352,UMNO,OTHMAN BIN AZIZ,MALE,63,88,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,26,PAS,DR. ABD GHANI AHMAD,MALE,52,214,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,5,0,TRUE
P.005_N.04_005/04/03_4,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/03,KAMPUNG PUTAT,"SEKOLAH KEBANGSAAN PUTAT, JITRA",4,406,UMNO,OTHMAN BIN AZIZ,MALE,63,84,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,33,PAS,DR. ABD GHANI AHMAD,MALE,52,265,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,6,0,TRUE
P.005_N.04_005/04/04_1,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/04,KAMPUNG IMAM,"SEKOLAH MENENGAH KEBANGSAAN MEGAT DEWA, KODIANG",1,367,UMNO,OTHMAN BIN AZIZ,MALE,63,129,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,28,PAS,DR. ABD GHANI AHMAD,MALE,52,156,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,6,0,TRUE
P.005_N.04_005/04/04_2,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/04,KAMPUNG IMAM,"SEKOLAH MENENGAH KEBANGSAAN MEGAT DEWA, KODIANG",2,447,UMNO,OTHMAN BIN AZIZ,MALE,63,100,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,25,PAS,DR. ABD GHANI AHMAD,MALE,52,263,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445,2,0,TRUE
P.005_N.04_005/04/04_3,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/04,KAMPUNG IMAM,"SEKOLAH MENENGAH KEBANGSAAN MEGAT DEWA, KODIANG",3,444,UMNO,OTHMAN BIN AZIZ,MALE,63,77,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,41,PAS,DR. ABD GHANI AHMAD,MALE,52,293,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443,1,0,TRUE
P.005_N.04_005/04/05_1,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/05,TELAGA BATU,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SERI INDERA PUTERA, AIR HITAM",1,336,UMNO,OTHMAN BIN AZIZ,MALE,63,87,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,29,PAS,DR. ABD GHANI AHMAD,MALE,52,207,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,5,0,TRUE
P.005_N.04_005/04/05_2,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/05,TELAGA BATU,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SERI INDERA PUTERA, AIR HITAM",2,401,UMNO,OTHMAN BIN AZIZ,MALE,63,64,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,33,PAS,DR. ABD GHANI AHMAD,MALE,52,287,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,1,0,TRUE
P.005_N.04_005/04/05_3,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/05,TELAGA BATU,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SERI INDERA PUTERA, AIR HITAM",3,371,UMNO,OTHMAN BIN AZIZ,MALE,63,54,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,22,PAS,DR. ABD GHANI AHMAD,MALE,52,284,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,1,0,TRUE
P.005_N.04_005/04/05_4,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/05,TELAGA BATU,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SERI INDERA PUTERA, AIR HITAM",4,430,UMNO,OTHMAN BIN AZIZ,MALE,63,47,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,19,PAS,DR. ABD GHANI AHMAD,MALE,52,342,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428,2,0,TRUE
P.005_N.04_005/04/06_1,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/06,PADANG PERAHU,"SEKOLAH KEBANGSAAN PADANG PERAHU, JITRA",1,361,UMNO,OTHMAN BIN AZIZ,MALE,63,68,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,31,PAS,DR. ABD GHANI AHMAD,MALE,52,234,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,3,0,TRUE
P.005_N.04_005/04/06_2,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/06,PADANG PERAHU,"SEKOLAH KEBANGSAAN PADANG PERAHU, JITRA",2,529,UMNO,OTHMAN BIN AZIZ,MALE,63,76,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,50,PAS,DR. ABD GHANI AHMAD,MALE,52,364,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525,4,0,TRUE
P.005_N.04_005/04/06_3,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/06,PADANG PERAHU,"SEKOLAH KEBANGSAAN PADANG PERAHU, JITRA",3,527,UMNO,OTHMAN BIN AZIZ,MALE,63,52,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,43,PAS,DR. ABD GHANI AHMAD,MALE,52,396,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,7,0,TRUE
P.005_N.04_005/04/07_1,,NORMAL VOTE,P.005,JERLUN,N.04,AYER HITAM,005/04/07,KAMPUNG PIDA,"SEKOLAH KEBANGSAAN PIDA TIGA, TUNJANG",1,346,UMNO,OTHMAN BIN AZIZ,MALE,63,121,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,17,PAS,DR. ABD GHANI AHMAD,MALE,52,171,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,9,0,TRUE
