Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) AIZUDDIN ARIFFIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) AMIRUDDIN HAMZAH (TOK MET),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HASMUNI BIN HASSAN (TOK MUNI),Candidate,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
15,004/01/12,MAKTAB MAHMUD LANGKAWI PINTU A,1,332,3,127,34,132,22,318,14,0,BUKIT KEMBOJA ,UNDI BIASA,BUKIT KEMBOJA 004/01/12
15,004/01/12,MAKTAB MAHMUD LANGKAWI PINTU A,2,374,1,183,38,110,40,372,2,0,BUKIT KEMBOJA ,UNDI BIASA,BUKIT KEMBOJA 004/01/12
15,004/01/12,MAKTAB MAHMUD LANGKAWI PINTU A,3,439,0,256,70,81,30,437,2,0,BUKIT KEMBOJA ,UNDI BIASA,BUKIT KEMBOJA 004/01/12
15,004/01/12,MAKTAB MAHMUD LANGKAWI PINTU A,4,410,1,264,45,79,20,409,1,0,BUKIT KEMBOJA ,UNDI BIASA,BUKIT KEMBOJA 004/01/12
15,004/01/12,MAKTAB MAHMUD LANGKAWI PINTU A,5,412,1,283,34,60,32,410,2,0,BUKIT KEMBOJA ,UNDI BIASA,BUKIT KEMBOJA 004/01/12
15,004/01/12,MAKTAB MAHMUD LANGKAWI PINTU A,6,504,0,357,35,72,39,503,1,0,BUKIT KEMBOJA ,UNDI BIASA,BUKIT KEMBOJA 004/01/12
16,004/01/13,MAKTAB MAHMUD LANGKAWI PINTU B,1,356,0,120,61,133,33,347,9,0,MAKAM MAHSURI ,UNDI BIASA,MAKAM MAHSURI 004/01/13
16,004/01/13,MAKTAB MAHMUD LANGKAWI PINTU B,2,564,0,309,78,132,38,557,7,0,MAKAM MAHSURI ,UNDI BIASA,MAKAM MAHSURI 004/01/13
16,004/01/13,MAKTAB MAHMUD LANGKAWI PINTU B,3,587,0,386,58,101,41,586,1,0,MAKAM MAHSURI ,UNDI BIASA,MAKAM MAHSURI 004/01/13
17,004/02/01,"SEKOLAH KEBANGSAAN SERI NEGERI, LANGKAWI",1,284,0,115,45,70,53,283,1,0,BENDANG BARU ,UNDI BIASA,BENDANG BARU 004/02/01
