Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HAJI RAHIMI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MARZUANI ARDILA ARIFFIN (GEE),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MEJ JEN DATO HJ KHLIR (B),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HANEEF IBRAHIM (ABE HANEEF),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
22,026/25/01,SEKOLAH KEBANGSAAN GONDANG,1,357,20,129,204,0,353,4,0,KAMPUNG GONDANG ,UNDI BIASA,KAMPUNG GONDANG 026/25/01
22,026/25/01,SEKOLAH KEBANGSAAN GONDANG,2,442,50,105,281,1,437,5,0,KAMPUNG GONDANG ,UNDI BIASA,KAMPUNG GONDANG 026/25/01
22,026/25/01,SEKOLAH KEBANGSAAN GONDANG,3,418,23,108,282,1,414,4,0,KAMPUNG GONDANG ,UNDI BIASA,KAMPUNG GONDANG 026/25/01
22,026/25/01,SEKOLAH KEBANGSAAN GONDANG,4,477,37,107,332,1,477,0,0,KAMPUNG GONDANG ,UNDI BIASA,KAMPUNG GONDANG 026/25/01
23,026/25/02,SMU (A) ITTIHADIAH TANJUNG PAGAR,6,373,7,216,147,1,371,2,0,PADANG TENGAH ,UNDI BIASA,PADANG TENGAH 026/25/02
23,026/25/02,SMU (A) ITTIHADIAH TANJUNG PAGAR,7,425,17,206,199,0,422,2,1,PADANG TENGAH ,UNDI BIASA,PADANG TENGAH 026/25/02
23,026/25/02,SMU (A) ITTIHADIAH TANJUNG PAGAR,8,392,15,173,199,0,387,4,1,PADANG TENGAH ,UNDI BIASA,PADANG TENGAH 026/25/02
23,026/25/02,SMU (A) ITTIHADIAH TANJUNG PAGAR,9,430,7,202,219,0,428,2,0,PADANG TENGAH ,UNDI BIASA,PADANG TENGAH 026/25/02
24,026/25/03,SEKOLAH KEBANGSAAN SERI KETEREH,1,289,26,104,149,1,280,9,0,KETEREH ,UNDI BIASA,KETEREH 026/25/03
24,026/25/03,SEKOLAH KEBANGSAAN SERI KETEREH,2,361,50,97,207,1,355,6,0,KETEREH ,UNDI BIASA,KETEREH 026/25/03
24,026/25/03,SEKOLAH KEBANGSAAN SERI KETEREH,3,351,42,103,198,3,346,5,0,KETEREH ,UNDI BIASA,KETEREH 026/25/03
24,026/25/03,SEKOLAH KEBANGSAAN SERI KETEREH,4,467,57,113,288,2,460,7,0,KETEREH ,UNDI BIASA,KETEREH 026/25/03
24,026/25/03,SEKOLAH KEBANGSAAN SERI KETEREH,5,447,42,99,301,1,443,4,0,KETEREH ,UNDI BIASA,KETEREH 026/25/03
24,026/25/03,SEKOLAH KEBANGSAAN SERI KETEREH,6,438,24,93,318,0,435,3,0,KETEREH ,UNDI BIASA,KETEREH 026/25/03
24,026/25/03,SEKOLAH KEBANGSAAN SERI KETEREH,7,431,39,88,296,2,425,6,0,KETEREH ,UNDI BIASA,KETEREH 026/25/03
24,026/25/03,SEKOLAH KEBANGSAAN SERI KETEREH,8,463,42,93,322,2,459,4,0,KETEREH ,UNDI BIASA,KETEREH 026/25/03
24,026/25/03,SEKOLAH KEBANGSAAN SERI KETEREH,9,544,54,113,374,3,544,0,0,KETEREH ,UNDI BIASA,KETEREH 026/25/03
25,026/25/04,SEKOLAH KEBANGSAAN KETEREH,1,365,24,137,193,0,354,11,0,PADANG LEMBEK ,UNDI BIASA,PADANG LEMBEK 026/25/04
25,026/25/04,SEKOLAH KEBANGSAAN KETEREH,2,411,18,126,259,2,405,6,0,PADANG LEMBEK ,UNDI BIASA,PADANG LEMBEK 026/25/04
25,026/25/04,SEKOLAH KEBANGSAAN KETEREH,3,348,7,89,242,1,339,9,0,PADANG LEMBEK ,UNDI BIASA,PADANG LEMBEK 026/25/04
25,026/25/04,SEKOLAH KEBANGSAAN KETEREH,4,404,16,131,254,1,402,2,0,PADANG LEMBEK ,UNDI BIASA,PADANG LEMBEK 026/25/04
26,026/25/05,SEKOLAH MENENGAH KEBANGSAAN KETEREH,1,350,10,189,139,4,342,8,0,HUTAN PASIR ,UNDI BIASA,HUTAN PASIR 026/25/05
26,026/25/05,SEKOLAH MENENGAH KEBANGSAAN KETEREH,2,363,15,120,214,1,350,13,0,HUTAN PASIR ,UNDI BIASA,HUTAN PASIR 026/25/05
26,026/25/05,SEKOLAH MENENGAH KEBANGSAAN KETEREH,3,307,10,121,169,0,300,7,0,HUTAN PASIR ,UNDI BIASA,HUTAN PASIR 026/25/05
26,026/25/05,SEKOLAH MENENGAH KEBANGSAAN KETEREH,4,381,15,122,241,2,380,1,0,HUTAN PASIR ,UNDI BIASA,HUTAN PASIR 026/25/05
27,026/25/06,SEKOLAH MENENGAH KEBANGSAAN KOK LANAS,1,379,16,157,199,0,372,6,1,KAMPUNG GUNTONG ,UNDI BIASA,KAMPUNG GUNTONG 026/25/06
27,026/25/06,SEKOLAH MENENGAH KEBANGSAAN KOK LANAS,2,395,24,152,212,1,389,6,0,KAMPUNG GUNTONG ,UNDI BIASA,KAMPUNG GUNTONG 026/25/06
27,026/25/06,SEKOLAH MENENGAH KEBANGSAAN KOK LANAS,3,370,16,110,244,0,370,0,0,KAMPUNG GUNTONG ,UNDI BIASA,KAMPUNG GUNTONG 026/25/06
27,026/25/06,SEKOLAH MENENGAH KEBANGSAAN KOK LANAS,4,429,41,107,276,2,426,3,0,KAMPUNG GUNTONG ,UNDI BIASA,KAMPUNG GUNTONG 026/25/06
28,026/25/07,SEKOLAH KEBANGSAAN PANGKAL KALONG,1,358,17,105,222,4,348,10,0,PANGKAL KALONG ,UNDI BIASA,PANGKAL KALONG 026/25/07
28,026/25/07,SEKOLAH KEBANGSAAN PANGKAL KALONG,2,408,27,107,272,1,407,1,0,PANGKAL KALONG ,UNDI BIASA,PANGKAL KALONG 026/25/07
28,026/25/07,SEKOLAH KEBANGSAAN PANGKAL KALONG,3,368,22,67,275,0,364,4,0,PANGKAL KALONG ,UNDI BIASA,PANGKAL KALONG 026/25/07
28,026/25/07,SEKOLAH KEBANGSAAN PANGKAL KALONG,4,439,21,110,305,3,439,0,0,PANGKAL KALONG ,UNDI BIASA,PANGKAL KALONG 026/25/07
29,026/25/08,SEKOLAH KEBANGSAAN KOK LANAS,1,328,34,115,174,0,323,5,0,KEDAI KOK LANAS ,UNDI BIASA,KEDAI KOK LANAS 026/25/08
29,026/25/08,SEKOLAH KEBANGSAAN KOK LANAS,2,383,37,142,199,1,379,4,0,KEDAI KOK LANAS ,UNDI BIASA,KEDAI KOK LANAS 026/25/08
29,026/25/08,SEKOLAH KEBANGSAAN KOK LANAS,3,371,47,102,215,2,366,5,0,KEDAI KOK LANAS ,UNDI BIASA,KEDAI KOK LANAS 026/25/08
29,026/25/08,SEKOLAH KEBANGSAAN KOK LANAS,4,519,54,110,343,3,510,9,0,KEDAI KOK LANAS ,UNDI BIASA,KEDAI KOK LANAS 026/25/08
