Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ERIC CHOO WEI SERN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHOO POAY TIONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) GOH LEONG SAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
24,138/20/10,SEKOLAH TINGGI PAY FONG MELAKA,4.0,561,25,521,14,560,1,0,KUBU ,UNDI BIASA
25,138/20/11,SEK. REN. AGAMA (JAIM) KG MORTEN,1.0,288,134,144,5,283,5,0,KAMPUNG MORTEN ,UNDI BIASA
25,138/20/11,SEK. REN. AGAMA (JAIM) KG MORTEN,2.0,459,241,204,4,449,10,0,KAMPUNG MORTEN ,UNDI BIASA
26,138/20/12,SEKOLAH JENIS KEBANGSAAN (CINA) PING MING,6.0,243,30,209,2,241,2,0,PENGKALAN RAMA ,UNDI BIASA
26,138/20/12,SEKOLAH JENIS KEBANGSAAN (CINA) PING MING,7.0,397,30,362,3,395,2,0,PENGKALAN RAMA ,UNDI BIASA
26,138/20/12,SEKOLAH JENIS KEBANGSAAN (CINA) PING MING,8.0,399,30,367,2,399,0,0,PENGKALAN RAMA ,UNDI BIASA
27,138/20/13,SEKOLAH JENIS KEBANGSAAN (CINA) PAY TECK,1.0,185,21,157,4,182,3,0,KAMPUNG HULU ,UNDI BIASA
27,138/20/13,SEKOLAH JENIS KEBANGSAAN (CINA) PAY TECK,2.0,436,53,366,9,428,8,0,KAMPUNG HULU ,UNDI BIASA
27,138/20/13,SEKOLAH JENIS KEBANGSAAN (CINA) PAY TECK,3.0,462,39,415,5,459,3,0,KAMPUNG HULU ,UNDI BIASA
27,138/20/13,SEKOLAH JENIS KEBANGSAAN (CINA) PAY TECK,4.0,466,31,428,7,466,0,0,KAMPUNG HULU ,UNDI BIASA
27,138/20/13,SEKOLAH JENIS KEBANGSAAN (CINA) PAY TECK,5.0,442,36,393,10,439,3,0,KAMPUNG HULU ,UNDI BIASA
28,138/20/14,SEKOLAH JENIS KEBANGSAAN (TAMIL) KUBU,1.0,225,39,178,3,220,5,0,KAMPUNG BELANDA ,UNDI BIASA
28,138/20/14,SEKOLAH JENIS KEBANGSAAN (TAMIL) KUBU,2.0,351,18,328,5,351,0,0,KAMPUNG BELANDA ,UNDI BIASA
28,138/20/14,SEKOLAH JENIS KEBANGSAAN (TAMIL) KUBU,3.0,349,25,314,9,348,1,0,KAMPUNG BELANDA ,UNDI BIASA
29,138/20/15,SEKOLAH KEBANGSAAN KUBU,1.0,275,57,208,7,272,3,0,TAMAN KOTA LAKSAMANA ,UNDI BIASA
29,138/20/15,SEKOLAH KEBANGSAAN KUBU,2.0,502,55,432,11,498,4,0,TAMAN KOTA LAKSAMANA ,UNDI BIASA
29,138/20/15,SEKOLAH KEBANGSAAN KUBU,3.0,483,28,437,18,483,0,0,TAMAN KOTA LAKSAMANA ,UNDI BIASA
29,138/20/15,SEKOLAH KEBANGSAAN KUBU,4.0,489,24,454,10,488,1,0,TAMAN KOTA LAKSAMANA ,UNDI BIASA
29,138/20/15,SEKOLAH KEBANGSAAN KUBU,5.0,489,20,460,8,488,1,0,TAMAN KOTA LAKSAMANA ,UNDI BIASA
30,138/21/01,SEKOLAH MENENGAH KEBANGSAAN TUN TIJAH,1.0,233,50,172,2,224,9,0,PENGKALAN RAMA TENGAH ,UNDI BIASA
30,138/21/01,SEKOLAH MENENGAH KEBANGSAAN TUN TIJAH,2.0,463,93,362,4,459,4,0,PENGKALAN RAMA TENGAH ,UNDI BIASA
30,138/21/01,SEKOLAH MENENGAH KEBANGSAAN TUN TIJAH,3.0,479,84,392,1,477,2,0,PENGKALAN RAMA TENGAH ,UNDI BIASA
30,138/21/01,SEKOLAH MENENGAH KEBANGSAAN TUN TIJAH,4.0,470,94,372,2,468,2,0,PENGKALAN RAMA TENGAH ,UNDI BIASA
31,138/21/02,SEKOLAH KEBANGSAAN PEREMPUAN DURIAN DAUN,1.0,261,70,180,6,256,5,0,DURIAN DAUN ,UNDI BIASA
31,138/21/02,SEKOLAH KEBANGSAAN PEREMPUAN DURIAN DAUN,2.0,501,108,383,5,496,5,0,DURIAN DAUN ,UNDI BIASA
31,138/21/02,SEKOLAH KEBANGSAAN PEREMPUAN DURIAN DAUN,3.0,500,127,362,7,496,4,0,DURIAN DAUN ,UNDI BIASA
