Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NURIN AINA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ AHMAD FAUZI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' TAJUL URUS HJ. MAT ZAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
3,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",8.0,422,71,166,181,418,4,0,UNDI AWAL ,UNDI AWAL
3,014/26/00,"SEKOLAH KEBANGSAAN KEM LAPANGAN TERBANG, SUNGAI PETANI",9.0,416,64,153,196,413,2,1,UNDI AWAL ,UNDI AWAL
4,014/25/01,"SEKOLAH KEBANGSAAN KAMPUNG KUALA SIN, BUKIT SELAMBAU",1.0,307,80,75,143,298,9,0,KUALA SIN ,UNDI BIASA
4,014/25/01,"SEKOLAH KEBANGSAAN KAMPUNG KUALA SIN, BUKIT SELAMBAU",2.0,538,176,151,206,533,5,0,KUALA SIN ,UNDI BIASA
5,014/25/02,"SEKOLAH KEBANGSAAN BUKIT SELAMBAU, BUKIT SELAMBAU",1.0,295,65,40,147,252,43,0,KAMPUNG SUNGKAP ,UNDI BIASA
5,014/25/02,"SEKOLAH KEBANGSAAN BUKIT SELAMBAU, BUKIT SELAMBAU",2.0,355,89,122,144,355,0,0,KAMPUNG SUNGKAP ,UNDI BIASA
6,014/25/03,"SEKOLAH KEBANGSAAN AMAN JAYA, SUNGAI LALANG",1.0,265,121,18,107,246,19,0,BUKIT LEMBU ,UNDI BIASA
6,014/25/03,"SEKOLAH KEBANGSAAN AMAN JAYA, SUNGAI LALANG",2.0,359,167,27,157,351,8,0,BUKIT LEMBU ,UNDI BIASA
6,014/25/03,"SEKOLAH KEBANGSAAN AMAN JAYA, SUNGAI LALANG",3.0,327,154,29,135,318,8,1,BUKIT LEMBU ,UNDI BIASA
7,014/25/04,"SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG, SUNGAI LALANG",1.0,261,105,22,127,254,7,0,TAMAN BANDAR BARU ,UNDI BIASA
7,014/25/04,"SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG, SUNGAI LALANG",2.0,616,203,113,292,608,8,0,TAMAN BANDAR BARU ,UNDI BIASA
7,014/25/04,"SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG, SUNGAI LALANG",3.0,632,237,143,228,608,24,0,TAMAN BANDAR BARU ,UNDI BIASA
7,014/25/04,"SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG, SUNGAI LALANG",4.0,610,242,163,196,601,9,0,TAMAN BANDAR BARU ,UNDI BIASA
7,014/25/04,"SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG, SUNGAI LALANG",5.0,609,257,192,158,607,2,0,TAMAN BANDAR BARU ,UNDI BIASA
7,014/25/04,"SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG, SUNGAI LALANG",6.0,581,287,131,157,575,5,1,TAMAN BANDAR BARU ,UNDI BIASA
7,014/25/04,"SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG, SUNGAI LALANG",7.0,515,297,93,122,512,3,0,TAMAN BANDAR BARU ,UNDI BIASA
7,014/25/04,"SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG, SUNGAI LALANG",8.0,485,267,92,122,481,4,0,TAMAN BANDAR BARU ,UNDI BIASA
7,014/25/04,"SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG, SUNGAI LALANG",9.0,503,252,115,130,497,6,0,TAMAN BANDAR BARU ,UNDI BIASA
7,014/25/04,"SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG, SUNGAI LALANG",10.0,503,253,146,103,502,1,0,TAMAN BANDAR BARU ,UNDI BIASA
7,014/25/04,"SEKOLAH KEBANGSAAN BANDAR BARU SUNGAI LALANG, SUNGAI LALANG",11.0,534,199,207,122,528,6,0,TAMAN BANDAR BARU ,UNDI BIASA
8,014/25/05,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, SUNGAI LALANG",1.0,266,183,10,66,259,7,0,SUNGAI LALANG ,UNDI BIASA
8,014/25/05,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, SUNGAI LALANG",2.0,479,317,34,118,469,10,0,SUNGAI LALANG ,UNDI BIASA
8,014/25/05,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, SUNGAI LALANG",3.0,501,349,58,88,495,6,0,SUNGAI LALANG ,UNDI BIASA
8,014/25/05,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, SUNGAI LALANG",4.0,426,300,43,78,421,5,0,SUNGAI LALANG ,UNDI BIASA
8,014/25/05,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, SUNGAI LALANG",5.0,416,286,63,66,415,1,0,SUNGAI LALANG ,UNDI BIASA
9,014/25/06,"SEKOLAH KEBANGSAAN SUNGAI LALANG, SUNGAI LALANG",1.0,295,125,60,104,289,6,0,TAMAN DESA AMAN ,UNDI BIASA
