Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KARUPAIYA MUTUSAMI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUHAMAD SOBRI BIN OSMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' DR. LEONG YONG KONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
37,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR,KULIM",1.0,285,158,32,89,279,6,0,TAMAN LOBAK ,UNDI BIASA
37,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR,KULIM",2.0,615,343,121,141,605,10,0,TAMAN LOBAK ,UNDI BIASA
37,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR,KULIM",3.0,595,337,162,81,580,15,0,TAMAN LOBAK ,UNDI BIASA
37,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR,KULIM",4.0,574,371,141,62,574,0,0,TAMAN LOBAK ,UNDI BIASA
37,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR,KULIM",5.0,546,366,118,60,544,2,0,TAMAN LOBAK ,UNDI BIASA
37,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR,KULIM",6.0,495,301,139,49,489,6,0,TAMAN LOBAK ,UNDI BIASA
37,017/34/13,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PANGLIMA BESAR,KULIM",7.0,535,278,184,71,533,2,0,TAMAN LOBAK ,UNDI BIASA
38,017/34/14,"SEKOLAH KEBANGSAAN SRI LIMAU, LUNAS",6.0,312,98,100,109,307,5,0,SUNGAI LIMAU ,UNDI BIASA
38,017/34/14,"SEKOLAH KEBANGSAAN SRI LIMAU, LUNAS",7.0,399,159,165,75,399,0,0,SUNGAI LIMAU ,UNDI BIASA
38,017/34/14,"SEKOLAH KEBANGSAAN SRI LIMAU, LUNAS",8.0,357,145,162,49,356,1,0,SUNGAI LIMAU ,UNDI BIASA
39,017/34/15,"SEKOLAH  KEBANGSAAN KELADI, KULIM",1.0,285,51,93,136,280,5,0,KAMPUNG KELADI ,UNDI BIASA
39,017/34/15,"SEKOLAH  KEBANGSAAN KELADI, KULIM",2.0,550,157,203,187,547,3,0,KAMPUNG KELADI ,UNDI BIASA
39,017/34/15,"SEKOLAH  KEBANGSAAN KELADI, KULIM",3.0,521,153,217,151,521,0,0,KAMPUNG KELADI ,UNDI BIASA
39,017/34/15,"SEKOLAH  KEBANGSAAN KELADI, KULIM",4.0,488,149,242,95,486,2,0,KAMPUNG KELADI ,UNDI BIASA
39,017/34/15,"SEKOLAH  KEBANGSAAN KELADI, KULIM",5.0,485,166,222,97,485,0,0,KAMPUNG KELADI ,UNDI BIASA
40,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH,KULIM",1.0,291,170,41,77,288,3,0,TAMAN SELASIH ,UNDI BIASA
40,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH,KULIM",2.0,608,289,156,157,602,6,0,TAMAN SELASIH ,UNDI BIASA
