Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR. CHEAH SOON HAI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TUAN HAJI YAHYA SAAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TAN KOK YEW,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
12,008/11/10,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SOFIAH, JALAN LANGGAR",2.0,531,96,163,268,527,4,0,TAMAN MEWAH ,UNDI BIASA
12,008/11/10,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SOFIAH, JALAN LANGGAR",3.0,497,54,222,221,497,0,0,TAMAN MEWAH ,UNDI BIASA
13,008/11/11,"SEKOLAH KEBANGSAAN CONVENT, ALOR SETAR",1.0,297,119,69,102,290,7,0,TAMAN NURI ,UNDI BIASA
13,008/11/11,"SEKOLAH KEBANGSAAN CONVENT, ALOR SETAR",2.0,572,141,187,243,571,1,0,TAMAN NURI ,UNDI BIASA
13,008/11/11,"SEKOLAH KEBANGSAAN CONVENT, ALOR SETAR",3.0,486,84,183,218,485,1,0,TAMAN NURI ,UNDI BIASA
13,008/11/11,"SEKOLAH KEBANGSAAN CONVENT, ALOR SETAR",4.0,500,72,211,217,500,0,0,TAMAN NURI ,UNDI BIASA
13,008/11/11,"SEKOLAH KEBANGSAAN CONVENT, ALOR SETAR",5.0,522,73,218,231,522,0,0,TAMAN NURI ,UNDI BIASA
14,008/11/12,"SEKOLAH KEBANGSAAN JALAN DATUK KUMBAR, ALOR SETAR",1.0,269,77,77,107,261,8,0,TAMAN INTAN ,UNDI BIASA
14,008/11/12,"SEKOLAH KEBANGSAAN JALAN DATUK KUMBAR, ALOR SETAR",2.0,479,94,187,194,475,4,0,TAMAN INTAN ,UNDI BIASA
14,008/11/12,"SEKOLAH KEBANGSAAN JALAN DATUK KUMBAR, ALOR SETAR",3.0,458,86,180,191,457,1,0,TAMAN INTAN ,UNDI BIASA
14,008/11/12,"SEKOLAH KEBANGSAAN JALAN DATUK KUMBAR, ALOR SETAR",4.0,418,51,187,179,417,1,0,TAMAN INTAN ,UNDI BIASA
14,008/11/12,"SEKOLAH KEBANGSAAN JALAN DATUK KUMBAR, ALOR SETAR",5.0,432,57,207,168,432,0,0,TAMAN INTAN ,UNDI BIASA
15,008/11/13,"SEKOLAH KEBANGSAAN ALOR SETAR, JALAN LANGGAR",1.0,260,54,109,91,254,6,0,TANJUNG SERI ,UNDI BIASA
15,008/11/13,"SEKOLAH KEBANGSAAN ALOR SETAR, JALAN LANGGAR",2.0,462,56,249,153,458,4,0,TANJUNG SERI ,UNDI BIASA
15,008/11/13,"SEKOLAH KEBANGSAAN ALOR SETAR, JALAN LANGGAR",3.0,394,42,225,125,392,2,0,TANJUNG SERI ,UNDI BIASA
16,008/11/14,"SEKOLAH RENDAH ISLAM ALOR SETAR, JALAN DATUK KUMBAR",1.0,292,108,28,146,282,10,0,TAMAN DERGA JAYA ,UNDI BIASA
16,008/11/14,"SEKOLAH RENDAH ISLAM ALOR SETAR, JALAN DATUK KUMBAR",2.0,635,192,111,328,631,4,0,TAMAN DERGA JAYA ,UNDI BIASA
16,008/11/14,"SEKOLAH RENDAH ISLAM ALOR SETAR, JALAN DATUK KUMBAR",3.0,595,134,90,370,594,1,0,TAMAN DERGA JAYA ,UNDI BIASA
16,008/11/14,"SEKOLAH RENDAH ISLAM ALOR SETAR, JALAN DATUK KUMBAR",4.0,522,104,102,316,522,0,0,TAMAN DERGA JAYA ,UNDI BIASA
16,008/11/14,"SEKOLAH RENDAH ISLAM ALOR SETAR, JALAN DATUK KUMBAR",5.0,535,90,160,283,533,2,0,TAMAN DERGA JAYA ,UNDI BIASA
