Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK JAZLAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MEJAR (B) MAT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) WAN AHMAD FAYHSAL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR ROSLI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
25,BANDAR TEMANGAN 029/34/09,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,1,310,121,3,113,71,308,2,0
25,BANDAR TEMANGAN 029/34/09,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,2,304,92,0,146,60,298,6,0
25,BANDAR TEMANGAN 029/34/09,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,3,346,96,1,182,65,344,2,0
25,BANDAR TEMANGAN 029/34/09,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,4,336,90,0,197,46,333,3,0
25,BANDAR TEMANGAN 029/34/09,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,5,343,102,0,206,34,342,1,0
26,KAMPUNG KERILLA 029/34/10,SEKOLAH KEBANGSAAN KAMPUNG KERILLA,1,353,150,1,177,18,346,7,0
26,KAMPUNG KERILLA 029/34/10,SEKOLAH KEBANGSAAN KAMPUNG KERILLA,2,320,139,0,155,24,318,2,0
26,KAMPUNG KERILLA 029/34/10,SEKOLAH KEBANGSAAN KAMPUNG KERILLA,3,465,167,0,265,27,459,6,0
26,KAMPUNG KERILLA 029/34/10,SEKOLAH KEBANGSAAN KAMPUNG KERILLA,4,490,182,0,281,19,482,8,0
26,KAMPUNG KERILLA 029/34/10,SEKOLAH KEBANGSAAN KAMPUNG KERILLA,5,519,206,0,295,15,516,3,0
27,PANGKAL CHUIT 029/34/11,SMU (A) AL-HASANIAH PANGKAL JENERIH,1,327,168,0,144,3,315,12,0
27,PANGKAL CHUIT 029/34/11,SMU (A) AL-HASANIAH PANGKAL JENERIH,2,363,164,1,183,10,358,5,0
27,PANGKAL CHUIT 029/34/11,SMU (A) AL-HASANIAH PANGKAL JENERIH,3,498,230,0,252,8,490,8,0
27,PANGKAL CHUIT 029/34/11,SMU (A) AL-HASANIAH PANGKAL JENERIH,4,486,224,1,253,7,485,1,0
27,PANGKAL CHUIT 029/34/11,SMU (A) AL-HASANIAH PANGKAL JENERIH,5,524,226,2,281,14,523,1,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.029 MACHANG
JUMLAH PEMILIH: 88,825                                                                                                                                                                                                 MUKASURAT: 7/9",PANGKAL CHUIT 029/34/11,SMU (A) AL-HASANIAH PANGKAL JENERIH,5,524,226,2,281,14,523,1,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",2,281,14,523,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),DATUK JAZLAN,MEJAR (B) MAT,WAN AHMAD FAYHSAL,DR ROSLI,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
28,SUNGAI HALA 029/35/01,SEKOLAH MENENGAH KEBANGSAAN HAMZAH,1,319,123,3,172,16,314,5,0
28,SUNGAI HALA 029/35/01,SEKOLAH MENENGAH KEBANGSAAN HAMZAH,2,354,125,0,197,26,348,6,0
28,SUNGAI HALA 029/35/01,SEKOLAH MENENGAH KEBANGSAAN HAMZAH,3,554,200,3,304,35,542,12,0
28,SUNGAI HALA 029/35/01,SEKOLAH MENENGAH KEBANGSAAN HAMZAH,4,501,173,3,289,32,497,4,0
28,SUNGAI HALA 029/35/01,SEKOLAH MENENGAH KEBANGSAAN HAMZAH,5,489,166,1,281,36,484,5,0
28,SUNGAI HALA 029/35/01,SEKOLAH MENENGAH KEBANGSAAN HAMZAH,6,479,152,1,282,42,477,2,0
28,SUNGAI HALA 029/35/01,SEKOLAH MENENGAH KEBANGSAAN HAMZAH,7,560,194,0,300,63,557,3,0
28,SUNGAI HALA 029/35/01,SEKOLAH MENENGAH KEBANGSAAN HAMZAH,8,612,208,1,375,27,611,1,0
29,KWENG HITAM 029/35/02,SEKOLAH MENENGAH KEBANGSAAN MACHANG,1,312,122,0,148,36,306,6,0
29,KWENG HITAM 029/35/02,SEKOLAH MENENGAH KEBANGSAAN MACHANG,2,376,178,1,149,45,373,3,0
29,KWENG HITAM 029/35/02,SEKOLAH MENENGAH KEBANGSAAN MACHANG,3,547,227,1,266,47,541,6,0
29,KWENG HITAM 029/35/02,SEKOLAH MENENGAH KEBANGSAAN MACHANG,4,503,190,2,263,46,501,2,0
29,KWENG HITAM 029/35/02,SEKOLAH MENENGAH KEBANGSAAN MACHANG,5,475,179,2,241,47,469,6,0
29,KWENG HITAM 029/35/02,SEKOLAH MENENGAH KEBANGSAAN MACHANG,6,443,184,0,222,36,442,1,0
29,KWENG HITAM 029/35/02,SEKOLAH MENENGAH KEBANGSAAN MACHANG,7,454,183,0,207,62,452,2,0
29,KWENG HITAM 029/35/02,SEKOLAH MENENGAH KEBANGSAAN MACHANG,8,480,175,1,250,53,479,1,0
29,KWENG HITAM 029/35/02,SEKOLAH MENENGAH KEBANGSAAN MACHANG,9,578,210,2,287,77,576,2,0
29,KWENG HITAM 029/35/02,SEKOLAH MENENGAH KEBANGSAAN MACHANG,10,610,227,2,339,40,608,2,0
30,PANGKAL CHANGGONG 029/35/03,SEKOLAH MENENGAH KEBANGSAAN AGAMA WATANIAH,1,336,96,0,208,22,326,10,0
30,PANGKAL CHANGGONG 029/35/03,SEKOLAH MENENGAH KEBANGSAAN AGAMA WATANIAH,2,493,155,0,304,28,487,6,0
30,PANGKAL CHANGGONG 029/35/03,SEKOLAH MENENGAH KEBANGSAAN AGAMA WATANIAH,3,507,127,0,333,46,506,1,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.029 MACHANG
JUMLAH PEMILIH: 88,825                                                                                                                                                                                                 MUKASURAT: 8/9",PANGKAL CHANGGONG 029/35/03,SEKOLAH MENENGAH KEBANGSAAN AGAMA WATANIAH,3,507,127,0,333,46,506,1,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",0,333,46,506,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),DATUK JAZLAN,MEJAR (B) MAT,WAN AHMAD FAYHSAL,DR ROSLI,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
31,BANDAR LAMA 029/35/04,SEKOLAH KEBANGSAAN MACHANG (1),1,335,130,1,151,43,325,10,0
31,BANDAR LAMA 029/35/04,SEKOLAH KEBANGSAAN MACHANG (1),2,466,155,1,246,59,461,5,0
31,BANDAR LAMA 029/35/04,SEKOLAH KEBANGSAAN MACHANG (1),3,480,198,1,230,50,479,0,1
32,BANDAR BHARU 029/35/05,SEKOLAH KEBANGSAAN HAMZAH (1),1,318,104,0,119,93,316,2,0
32,BANDAR BHARU 029/35/05,SEKOLAH KEBANGSAAN HAMZAH (1),2,294,87,0,162,42,291,3,0
32,BANDAR BHARU 029/35/05,SEKOLAH KEBANGSAAN HAMZAH (1),3,315,106,0,152,54,312,3,0
