Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) PROFESSOR DR IR HJ MAT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) POK ZAHARI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NORWAHIDA PATUAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MD RADZI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
24,KEDAI AIR LANAS 030/37/10,SEKOLAH MENENGAH KEBANGSAAN AYER LANAS,2,435,3,288,120,22,433,2,0
24,KEDAI AIR LANAS 030/37/10,SEKOLAH MENENGAH KEBANGSAAN AYER LANAS,3,392,1,280,95,15,391,1,0
24,KEDAI AIR LANAS 030/37/10,SEKOLAH MENENGAH KEBANGSAAN AYER LANAS,4,465,1,331,111,21,464,1,0
25,BATU MELINTANG 030/38/01,SEKOLAH MENENGAH KEBANGSAAN BATU MELINTANG,1,335,4,167,146,7,324,11,0
25,BATU MELINTANG 030/38/01,SEKOLAH MENENGAH KEBANGSAAN BATU MELINTANG,2,357,3,223,121,5,352,5,0
25,BATU MELINTANG 030/38/01,SEKOLAH MENENGAH KEBANGSAAN BATU MELINTANG,3,375,4,228,128,14,374,1,0
26,PENDOK 030/38/02,SEKOLAH KEBANGSAAN PENDOK,1,393,2,222,151,8,383,10,0
26,PENDOK 030/38/02,SEKOLAH KEBANGSAAN PENDOK,2,330,0,201,116,3,320,10,0
26,PENDOK 030/38/02,SEKOLAH KEBANGSAAN PENDOK,3,356,1,228,116,7,352,4,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.030 JELI
JUMLAH PEMILIH: 59,798                                                                                                                                                                                                 MUKASURAT: 6/6",PENDOK 030/38/02,SEKOLAH KEBANGSAAN PENDOK,3,356,1,228,116,7,352,4,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",228,116,7,352,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),PROFESSOR DR IR HJ MAT,POK ZAHARI,NORWAHIDA PATUAN,MD RADZI,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
27,SUNGAI LONG 030/38/03,SEKOLAH KEBANGSAAN SUNGAI LONG,1,377,1,275,89,2,367,10,0
27,SUNGAI LONG 030/38/03,SEKOLAH KEBANGSAAN SUNGAI LONG,2,579,1,432,135,3,571,8,0
28,LUBOK BONGOR 030/38/04,SEKOLAH KEBANGSAAN LUBOK BONGOR,1,353,2,195,143,4,344,8,1
28,LUBOK BONGOR 030/38/04,SEKOLAH KEBANGSAAN LUBOK BONGOR,2,529,2,301,200,16,519,10,0
28,LUBOK BONGOR 030/38/04,SEKOLAH KEBANGSAAN LUBOK BONGOR,3,478,2,310,147,13,472,6,0
28,LUBOK BONGOR 030/38/04,SEKOLAH KEBANGSAAN LUBOK BONGOR,4,557,0,352,191,9,552,4,1
29,KUBOR DATU 030/38/05,SEKOLAH KEBANGSAAN KUBOR DATU,1,361,1,199,145,7,352,9,0
29,KUBOR DATU 030/38/05,SEKOLAH KEBANGSAAN KUBOR DATU,2,456,2,278,154,13,447,9,0
29,KUBOR DATU 030/38/05,SEKOLAH KEBANGSAAN KUBOR DATU,3,464,0,292,156,12,460,4,0
30,JERIMBONG 030/38/06,SEKOLAH KEBANGSAAN BUKIT JERING,1,355,0,152,178,13,343,12,0
30,JERIMBONG 030/38/06,SEKOLAH KEBANGSAAN BUKIT JERING,2,346,0,189,135,14,338,8,0
30,JERIMBONG 030/38/06,SEKOLAH KEBANGSAAN BUKIT JERING,3,469,0,299,141,15,455,14,0
30,JERIMBONG 030/38/06,SEKOLAH KEBANGSAAN BUKIT JERING,4,475,1,284,172,6,463,12,0
30,JERIMBONG 030/38/06,SEKOLAH KEBANGSAAN BUKIT JERING,5,478,0,300,161,16,477,1,0
31,KEDAI KUALA BALAH 030/38/07,SEKOLAH KEBANGSAAN KUALA BALAH,1,327,3,123,173,16,315,12,0
31,KEDAI KUALA BALAH 030/38/07,SEKOLAH KEBANGSAAN KUALA BALAH,2,420,1,244,152,15,412,8,0
31,KEDAI KUALA BALAH 030/38/07,SEKOLAH KEBANGSAAN KUALA BALAH,3,409,0,245,147,15,407,2,0
32,"KAMPUNG BHARU TG.ABD.RAHMAN PUTRA
030/38/08",SEKOLAH MENENGAH KEBANGSAAN KUALA BALAH,1,322,1,171,128,13,313,9,0
32,"KAMPUNG BHARU TG.ABD.RAHMAN PUTRA
030/38/08",SEKOLAH MENENGAH KEBANGSAAN KUALA BALAH,2,464,3,280,151,21,455,9,0
32,"KAMPUNG BHARU TG.ABD.RAHMAN PUTRA
030/38/08",SEKOLAH MENENGAH KEBANGSAAN KUALA BALAH,3,499,5,321,150,21,497,2,0
JUMLAH,JUMLAH,JUMLAH,114,43732,133,27072,14608,1140,42953,635,144
