Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' DR JOHAN BIN MAT SAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ NASRUDIN HASSAN TANTAWI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SAIFUDDIN ABDULLAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
16,082/12/13,SJK(C) PEI CHAI,7,579,40,30,509,579,0,0,AIR PUTIH,UNDI BIASA
17,082/13/01,SK KAMPONG PADANG,1,315,155,67,81,303,12,0,KAMPUNG PADANG,UNDI BIASA
17,082/13/01,SK KAMPONG PADANG,2,587,221,213,149,583,4,0,KAMPUNG PADANG,UNDI BIASA
17,082/13/01,SK KAMPONG PADANG,3,542,170,148,222,540,2,0,KAMPUNG PADANG,UNDI BIASA
17,082/13/01,SK KAMPONG PADANG,4,493,115,157,216,488,5,0,KAMPUNG PADANG,UNDI BIASA
17,082/13/01,SK KAMPONG PADANG,5,504,147,185,171,503,1,0,KAMPUNG PADANG,UNDI BIASA
18,082/13/02,SK RTP BUKIT GOH,1,271,148,58,51,257,14,0,RTP BUKIT GOH,UNDI BIASA
18,082/13/02,SK RTP BUKIT GOH,2,288,115,114,58,287,1,0,RTP BUKIT GOH,UNDI BIASA
19,082/13/03,SK SUNGAI TALAM,1,285,107,31,145,283,2,0,BUKIT ISTANA,UNDI BIASA
19,082/13/03,SK SUNGAI TALAM,2,519,118,158,239,515,2,2,BUKIT ISTANA,UNDI BIASA
19,082/13/03,SK SUNGAI TALAM,3,450,96,125,227,448,2,0,BUKIT ISTANA,UNDI BIASA
19,082/13/03,SK SUNGAI TALAM,4,455,83,116,255,454,1,0,BUKIT ISTANA,UNDI BIASA
19,082/13/03,SK SUNGAI TALAM,5,481,86,112,283,481,0,0,BUKIT ISTANA,UNDI BIASA
20,082/13/04,SK SEMAMBU,1,277,81,14,166,261,16,0,SEMAMBU,UNDI BIASA
20,082/13/04,SK SEMAMBU,2,568,204,39,316,559,9,0,SEMAMBU,UNDI BIASA
20,082/13/04,SK SEMAMBU,3,560,97,49,410,556,4,0,SEMAMBU,UNDI BIASA
20,082/13/04,SK SEMAMBU,4,540,89,74,374,537,3,0,SEMAMBU,UNDI BIASA
20,082/13/04,SK SEMAMBU,5,526,96,65,362,523,3,0,SEMAMBU,UNDI BIASA
20,082/13/04,SK SEMAMBU,6,500,107,65,327,499,1,0,SEMAMBU,UNDI BIASA
20,082/13/04,SK SEMAMBU,7,478,107,52,317,476,0,2,SEMAMBU,UNDI BIASA
20,082/13/04,SK SEMAMBU,8,511,113,93,304,510,1,0,SEMAMBU,UNDI BIASA
21,082/13/05,SK BUKIT SEKILAU,1,256,88,22,144,254,2,0,BUKIT SEKILAU,UNDI BIASA
21,082/13/05,SK BUKIT SEKILAU,2,564,155,43,360,558,6,0,BUKIT SEKILAU,UNDI BIASA
21,082/13/05,SK BUKIT SEKILAU,3,569,120,54,395,569,0,0,BUKIT SEKILAU,UNDI BIASA
21,082/13/05,SK BUKIT SEKILAU,4,562,115,43,399,557,5,0,BUKIT SEKILAU,UNDI BIASA
21,082/13/05,SK BUKIT SEKILAU,5,572,95,51,421,567,5,0,BUKIT SEKILAU,UNDI BIASA
