Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ HASSAN BIN SAAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD TAUFIK BIN HJ YAACOB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATUK AZEEZ RAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
24,016/30/20,"SEKOLAH  KEBANGSAAN PULAI, PULAI",2,511,135,117,255,507,4,0,PEKAN PULAI,UNDI BIASA
24,016/30/20,"SEKOLAH  KEBANGSAAN PULAI, PULAI",3,444,160,124,158,442,2,0,PEKAN PULAI,UNDI BIASA
24,016/30/20,"SEKOLAH  KEBANGSAAN PULAI, PULAI",4,456,162,119,171,452,4,0,PEKAN PULAI,UNDI BIASA
25,016/30/21,"SEKOLAH  MENENGAH KEBANGSAAN  BALING, BALING",1,298,78,32,185,295,3,0,POKOK SENA,UNDI BIASA
25,016/30/21,"SEKOLAH  MENENGAH KEBANGSAAN  BALING, BALING",2,482,125,80,273,478,4,0,POKOK SENA,UNDI BIASA
25,016/30/21,"SEKOLAH  MENENGAH KEBANGSAAN  BALING, BALING",3,458,159,135,163,457,1,0,POKOK SENA,UNDI BIASA
25,016/30/21,"SEKOLAH  MENENGAH KEBANGSAAN  BALING, BALING",4,445,149,117,177,443,1,1,POKOK SENA,UNDI BIASA
26,016/30/22,"SEKOLAH  KEBANGSAAN TELOK TEDURI TELOK TEDURI, KAMPUNG",1,318,70,42,195,307,11,0,TELOK TEDURI,UNDI BIASA
26,016/30/22,"SEKOLAH  KEBANGSAAN TELOK TEDURI TELOK TEDURI, KAMPUNG",2,552,184,112,253,549,3,0,TELOK TEDURI,UNDI BIASA
27,016/30/23,"SEKOLAH  KEBANGSAAN KAMPUNG SERA KAMPUNG SERA,",1,305,83,35,174,292,13,0,SERA MESJID,UNDI BIASA
27,016/30/23,"SEKOLAH  KEBANGSAAN KAMPUNG SERA KAMPUNG SERA,",2,534,203,72,255,530,4,0,SERA MESJID,UNDI BIASA
28,016/30/24,"SEKOLAH  KEBANGSAAN RAMBONG PULAI, KAMPUNG RAMBONG PULAI",1,333,107,31,187,325,8,0,TELOK SERA,UNDI BIASA
28,016/30/24,"SEKOLAH  KEBANGSAAN RAMBONG PULAI, KAMPUNG RAMBONG PULAI",2,342,154,35,153,342,0,0,TELOK SERA,UNDI BIASA
28,016/30/24,"SEKOLAH  KEBANGSAAN RAMBONG PULAI, KAMPUNG RAMBONG PULAI",3,327,141,33,152,326,1,0,TELOK SERA,UNDI BIASA
29,016/30/25,"SEKOLAH KEBANGSAAN TIAK, KAMPUNG TIAK",1,314,152,21,135,308,6,0,KAMPUNG TIAK,UNDI BIASA
29,016/30/25,"SEKOLAH KEBANGSAAN TIAK, KAMPUNG TIAK",2,600,318,59,220,597,3,0,KAMPUNG TIAK,UNDI BIASA
29,016/30/25,"SEKOLAH KEBANGSAAN TIAK, KAMPUNG TIAK",3,564,301,63,195,559,5,0,KAMPUNG TIAK,UNDI BIASA
30,016/30/26,"TAMAN BIMBINGAN KANAK-KANAK KAMPUNG BENDANG BECHAH, MUKIM KUPANG",1,320,147,17,139,303,17,0,BENDANG PADANG,UNDI BIASA
30,016/30/26,"TAMAN BIMBINGAN KANAK-KANAK KAMPUNG BENDANG BECHAH, MUKIM KUPANG",2,586,333,33,215,581,4,1,BENDANG PADANG,UNDI BIASA
31,016/30/27,"SEKOLAH  KEBANGSAAN KUALA KUANG, KUALA KUANG",1,319,160,25,127,312,7,0,KUALA KUANG,UNDI BIASA
31,016/30/27,"SEKOLAH  KEBANGSAAN KUALA KUANG, KUALA KUANG",2,555,310,38,203,551,4,0,KUALA KUANG,UNDI BIASA
31,016/30/27,"SEKOLAH  KEBANGSAAN KUALA KUANG, KUALA KUANG",3,535,281,42,207,530,5,0,KUALA KUANG,UNDI BIASA
32,016/30/28,"SEKOLAH KEBANGSAAN IBOI, IBOI",1,301,102,20,164,286,15,0,KAMPUNG IBOI,UNDI BIASA
32,016/30/28,"SEKOLAH KEBANGSAAN IBOI, IBOI",2,603,221,61,313,595,8,0,KAMPUNG IBOI,UNDI BIASA
32,016/30/28,"SEKOLAH KEBANGSAAN IBOI, IBOI",3,540,245,63,227,535,5,0,KAMPUNG IBOI,UNDI BIASA
32,016/30/28,"SEKOLAH KEBANGSAAN IBOI, IBOI",4,535,230,69,231,530,5,0,KAMPUNG IBOI,UNDI BIASA
33,016/31/01,"SEKOLAH  KEBANGSAAN LANAI, PARIT PANJANG",1,309,122,82,100,304,5,0,CHAROK SALANG,UNDI BIASA
33,016/31/01,"SEKOLAH  KEBANGSAAN LANAI, PARIT PANJANG",2,580,340,125,105,570,10,0,CHAROK SALANG,UNDI BIASA
34,016/31/02,"SEKOLAH  KEBANGSAAN ASAM JAWA, CAROK KELIAN",1,315,66,23,218,307,8,0,KAMPUNG ASAM JAWA,UNDI BIASA
34,016/31/02,"SEKOLAH  KEBANGSAAN ASAM JAWA, CAROK KELIAN",2,512,161,51,294,506,6,0,KAMPUNG ASAM JAWA,UNDI BIASA
34,016/31/02,"SEKOLAH  KEBANGSAAN ASAM JAWA, CAROK KELIAN",3,470,162,73,230,465,5,0,KAMPUNG ASAM JAWA,UNDI BIASA
35,016/31/03,"SEKOLAH  KEBANGSAAN ASAM JAWA, CAROK KELIAN",4,308,87,33,183,303,5,0,CHAROK KELIAN,UNDI BIASA
35,016/31/03,"SEKOLAH  KEBANGSAAN ASAM JAWA, CAROK KELIAN",5,417,149,53,210,412,5,0,CHAROK KELIAN,UNDI BIASA
35,016/31/03,"SEKOLAH  KEBANGSAAN ASAM JAWA, CAROK KELIAN",6,388,143,71,171,385,3,0,CHAROK KELIAN,UNDI BIASA
36,016/31/04,"SEKOLAH  KEBANGSAAN TITI GANTONG, JALAN SUNGAI LIMAU",1,309,106,34,157,297,12,0,SUNGAI LIMAU,UNDI BIASA
36,016/31/04,"SEKOLAH  KEBANGSAAN TITI GANTONG, JALAN SUNGAI LIMAU",2,500,217,85,188,490,10,0,SUNGAI LIMAU,UNDI BIASA
36,016/31/04,"SEKOLAH  KEBANGSAAN TITI GANTONG, JALAN SUNGAI LIMAU",3,464,213,85,164,462,2,0,SUNGAI LIMAU,UNDI BIASA
37,016/31/05,"SEKOLAH  MENENGAH KEBANGSAAN  SYED ABU BAKAR, KUPANG",1,307,100,37,162,299,8,0,CHAROK BEMBAN,UNDI BIASA
37,016/31/05,"SEKOLAH  MENENGAH KEBANGSAAN  SYED ABU BAKAR, KUPANG",2,632,265,111,255,631,1,0,CHAROK BEMBAN,UNDI BIASA
37,016/31/05,"SEKOLAH  MENENGAH KEBANGSAAN  SYED ABU BAKAR, KUPANG",3,586,276,121,188,585,1,0,CHAROK BEMBAN,UNDI BIASA
38,016/31/06,"SEKOLAH  KEBANGSAAN SEBERANG KETIL, KETIL KAMPUNG SEBERANG",1,319,90,13,207,310,9,0,GUA REBAN,UNDI BIASA
38,016/31/06,"SEKOLAH  KEBANGSAAN SEBERANG KETIL, KETIL KAMPUNG SEBERANG",2,478,214,21,237,472,6,0,GUA REBAN,UNDI BIASA
38,016/31/06,"SEKOLAH  KEBANGSAAN SEBERANG KETIL, KETIL KAMPUNG SEBERANG",3,445,181,60,202,443,2,0,GUA REBAN,UNDI BIASA
39,016/31/07,"SEKOLAH  KEBANGSAAN KAMPUNG PADANG, JALAN ASAM JAWA",1,313,71,42,194,307,6,0,KAMPUNG PADANG,UNDI BIASA
39,016/31/07,"SEKOLAH  KEBANGSAAN KAMPUNG PADANG, JALAN ASAM JAWA",2,438,126,100,208,434,3,1,KAMPUNG PADANG,UNDI BIASA
39,016/31/07,"SEKOLAH  KEBANGSAAN KAMPUNG PADANG, JALAN ASAM JAWA",3,415,141,84,188,413,2,0,KAMPUNG PADANG,UNDI BIASA
40,016/31/08,"SEKOLAH KEBANGSAAN LANAI, PARIT PANJANG",3,310,194,12,96,302,8,0,LANAI,UNDI BIASA
40,016/31/08,"SEKOLAH KEBANGSAAN LANAI, PARIT PANJANG",4,471,319,22,126,467,4,0,LANAI,UNDI BIASA
40,016/31/08,"SEKOLAH KEBANGSAAN LANAI, PARIT PANJANG",5,407,260,38,100,398,9,0,LANAI,UNDI BIASA
41,016/31/09,"SEKOLAH MENENGAH AGAMA TARBIAH ISLAMIAH (NADI), KG MENGKUANG MASJID",1,325,172,23,126,321,4,0,MENGKUANG,UNDI BIASA
41,016/31/09,"SEKOLAH MENENGAH AGAMA TARBIAH ISLAMIAH (NADI), KG MENGKUANG MASJID",2,468,245,38,183,466,1,1,MENGKUANG,UNDI BIASA
41,016/31/09,"SEKOLAH MENENGAH AGAMA TARBIAH ISLAMIAH (NADI), KG MENGKUANG MASJID",3,415,196,55,155,406,9,0,MENGKUANG,UNDI BIASA
41,016/31/09,"SEKOLAH MENENGAH AGAMA TARBIAH ISLAMIAH (NADI), KG MENGKUANG MASJID",4,407,219,42,144,405,2,0,MENGKUANG,UNDI BIASA
42,016/31/10,"SEKOLAH  MENENGAH KEBANGSAAN  KUALA PEGANG, KUALA PEGANG",1,311,80,21,207,308,3,0,LUBOK KABU,UNDI BIASA
42,016/31/10,"SEKOLAH  MENENGAH KEBANGSAAN  KUALA PEGANG, KUALA PEGANG",2,397,154,28,214,396,1,0,LUBOK KABU,UNDI BIASA
42,016/31/10,"SEKOLAH  MENENGAH KEBANGSAAN  KUALA PEGANG, KUALA PEGANG",3,403,189,31,180,400,3,0,LUBOK KABU,UNDI BIASA
43,016/31/11,"SEKOLAH  KEBANGSAAN KUALA PEGANG, KUALA PEGANG",1,285,42,133,107,282,3,0,KUALA PEGANG,UNDI BIASA
43,016/31/11,"SEKOLAH  KEBANGSAAN KUALA PEGANG, KUALA PEGANG",2,373,110,157,104,371,2,0,KUALA PEGANG,UNDI BIASA
43,016/31/11,"SEKOLAH  KEBANGSAAN KUALA PEGANG, KUALA PEGANG",3,348,126,125,97,348,0,0,KUALA PEGANG,UNDI BIASA
44,016/31/12,"SEKOLAH  KEBANGSAAN KUALA KUPANG, PEKAN KUPANG",1,449,127,117,200,444,5,0,KAMPUNG RAJA,UNDI BIASA
45,016/31/13,"SEKOLAH  JENIS KEBANGSAAN  (CINA) SENG YOK, KUPANG",1,300,102,44,144,290,10,0,KAMPUNG LANDAK,UNDI BIASA
45,016/31/13,"SEKOLAH  JENIS KEBANGSAAN  (CINA) SENG YOK, KUPANG",2,574,225,95,248,568,6,0,KAMPUNG LANDAK,UNDI BIASA
45,016/31/13,"SEKOLAH  JENIS KEBANGSAAN  (CINA) SENG YOK, KUPANG",3,538,257,101,178,536,2,0,KAMPUNG LANDAK,UNDI BIASA
46,016/31/14,"SEKOLAH  KEBANGSAAN KAMPUNG KEDA, KUPANG",1,283,60,101,118,279,4,0,PEKAN KUPANG,UNDI BIASA
46,016/31/14,"SEKOLAH  KEBANGSAAN KAMPUNG KEDA, KUPANG",2,340,135,102,96,333,7,0,PEKAN KUPANG,UNDI BIASA
46,016/31/14,"SEKOLAH  KEBANGSAAN KAMPUNG KEDA, KUPANG",3,311,116,83,111,310,1,0,PEKAN KUPANG,UNDI BIASA
47,016/31/15,"SEKOLAH  JENIS KEBANGSAAN  (CINA) CHIN HWA, PEKAN KUALA PEGANG",1,308,69,29,206,304,4,0,KUALA CHENERAI,UNDI BIASA
47,016/31/15,"SEKOLAH  JENIS KEBANGSAAN  (CINA) CHIN HWA, PEKAN KUALA PEGANG",2,408,127,76,205,408,0,0,KUALA CHENERAI,UNDI BIASA
48,016/31/16,"SEKOLAH  KEBANGSAAN KUALA PEGANG, KUALA PEGANG",4,302,87,31,171,289,13,0,KETEMBA,UNDI BIASA
48,016/31/16,"SEKOLAH  KEBANGSAAN KUALA PEGANG, KUALA PEGANG",5,387,167,28,190,385,2,0,KETEMBA,UNDI BIASA
48,016/31/16,"SEKOLAH  KEBANGSAAN KUALA PEGANG, KUALA PEGANG",6,378,134,42,196,372,6,0,KETEMBA,UNDI BIASA
49,016/31/17,"SEKOLAH  KEBANGSAAN KAMPUNG SADEK, KAMPUNG SADEK",1,331,159,12,152,323,8,0,KAMPUNG SADEK,UNDI BIASA
49,016/31/17,"SEKOLAH  KEBANGSAAN KAMPUNG SADEK, KAMPUNG SADEK",2,569,298,51,216,565,4,0,KAMPUNG SADEK,UNDI BIASA
49,016/31/17,"SEKOLAH  KEBANGSAAN KAMPUNG SADEK, KAMPUNG SADEK",3,517,296,45,175,516,1,0,KAMPUNG SADEK,UNDI BIASA
50,016/31/18,"SEKOLAH MENENGAH AGAMA (ARAB) DINIAH ISLAMIYAH, KUPANG",1,286,87,33,156,276,10,0,BUKIT TERABAK,UNDI BIASA
50,016/31/18,"SEKOLAH MENENGAH AGAMA (ARAB) DINIAH ISLAMIYAH, KUPANG",2,439,155,51,227,433,6,0,BUKIT TERABAK,UNDI BIASA
50,016/31/18,"SEKOLAH MENENGAH AGAMA (ARAB) DINIAH ISLAMIYAH, KUPANG",3,419,157,78,180,415,4,0,BUKIT TERABAK,UNDI BIASA
