Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' JOHARI ABDUL USTAZ SHARIR LONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SHAHANIM BINTI MOHAMAD YUSOFF,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) P. SRITHARAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
46,015/29/06,"SEKOLAH MENENGAH KEBANGSAAN DATO' BIJAYA SETIA, SUNGAI PETANI",6,526,378,82,60,1,521,5,0,KAMPUNG RAJA,UNDI BIASA
47,015/29/07,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SCARBORO BAHAGIAN 2, SUNGAI PETANI",1,272,113,21,127,0,261,11,0,SCARBORO,UNDI BIASA
47,015/29/07,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SCARBORO BAHAGIAN 2, SUNGAI PETANI",2,375,124,106,143,0,373,2,0,SCARBORO,UNDI BIASA
48,015/29/08,"SEKOLAH  MENENGAH KEBANGSAAN PENGKALAN LEBAI MAN, SUNGAI PETANI",1,217,136,11,64,0,211,6,0,PENGKALAN LEBAI MAN,UNDI BIASA
48,015/29/08,"SEKOLAH  MENENGAH KEBANGSAAN PENGKALAN LEBAI MAN, SUNGAI PETANI",2,564,374,61,121,0,556,8,0,PENGKALAN LEBAI MAN,UNDI BIASA
48,015/29/08,"SEKOLAH  MENENGAH KEBANGSAAN PENGKALAN LEBAI MAN, SUNGAI PETANI",3,581,417,30,121,4,572,9,0,PENGKALAN LEBAI MAN,UNDI BIASA
48,015/29/08,"SEKOLAH  MENENGAH KEBANGSAAN PENGKALAN LEBAI MAN, SUNGAI PETANI",4,571,409,51,105,2,567,4,0,PENGKALAN LEBAI MAN,UNDI BIASA
48,015/29/08,"SEKOLAH  MENENGAH KEBANGSAAN PENGKALAN LEBAI MAN, SUNGAI PETANI",5,543,390,63,83,1,537,6,0,PENGKALAN LEBAI MAN,UNDI BIASA
48,015/29/08,"SEKOLAH  MENENGAH KEBANGSAAN PENGKALAN LEBAI MAN, SUNGAI PETANI",6,507,348,81,73,3,505,2,0,PENGKALAN LEBAI MAN,UNDI BIASA
48,015/29/08,"SEKOLAH  MENENGAH KEBANGSAAN PENGKALAN LEBAI MAN, SUNGAI PETANI",7,507,341,93,70,2,506,1,0,PENGKALAN LEBAI MAN,UNDI BIASA
49,015/29/09,"INSTITUT PENDIDIKAN GURU KAMPUS SULTAN ABDUL HALIM, SUNGAI PETANI",1,243,195,6,32,2,235,8,0,TAMAN SUTERA,UNDI BIASA
49,015/29/09,"INSTITUT PENDIDIKAN GURU KAMPUS SULTAN ABDUL HALIM, SUNGAI PETANI",2,486,386,23,69,6,484,2,0,TAMAN SUTERA,UNDI BIASA
49,015/29/09,"INSTITUT PENDIDIKAN GURU KAMPUS SULTAN ABDUL HALIM, SUNGAI PETANI",3,466,321,36,68,3,428,38,0,TAMAN SUTERA,UNDI BIASA
49,015/29/09,"INSTITUT PENDIDIKAN GURU KAMPUS SULTAN ABDUL HALIM, SUNGAI PETANI",4,421,282,72,60,4,418,3,0,TAMAN SUTERA,UNDI BIASA
50,015/29/10,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN TERK, BATU DUA, SUNGAI PETANI",1,265,144,27,84,3,258,7,0,SERI IMPIAN,UNDI BIASA
50,015/29/10,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN TERK, BATU DUA, SUNGAI PETANI",2,557,347,53,153,0,553,4,0,SERI IMPIAN,UNDI BIASA
50,015/29/10,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN TERK, BATU DUA, SUNGAI PETANI",3,569,373,63,130,0,566,3,0,SERI IMPIAN,UNDI BIASA
50,015/29/10,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN TERK, BATU DUA, SUNGAI PETANI",4,525,351,68,98,7,524,1,0,SERI IMPIAN,UNDI BIASA
50,015/29/10,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN TERK, BATU DUA, SUNGAI PETANI",5,507,315,91,93,6,505,2,0,SERI IMPIAN,UNDI BIASA
50,015/29/10,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN TERK, BATU DUA, SUNGAI PETANI",6,477,306,87,83,1,477,0,0,SERI IMPIAN,UNDI BIASA
51,015/29/11,"SEKOLAH KEBANGSAAN BANDAR PUTERI JAYA, BANDAR PUTERI JAYA",1,261,155,17,78,1,251,10,0,PUTERI JAYA,UNDI BIASA
51,015/29/11,"SEKOLAH KEBANGSAAN BANDAR PUTERI JAYA, BANDAR PUTERI JAYA",2,630,371,56,193,4,624,6,0,PUTERI JAYA,UNDI BIASA
51,015/29/11,"SEKOLAH KEBANGSAAN BANDAR PUTERI JAYA, BANDAR PUTERI JAYA",3,636,334,147,151,0,632,4,0,PUTERI JAYA,UNDI BIASA
51,015/29/11,"SEKOLAH KEBANGSAAN BANDAR PUTERI JAYA, BANDAR PUTERI JAYA",4,597,358,141,93,4,596,1,0,PUTERI JAYA,UNDI BIASA
51,015/29/11,"SEKOLAH KEBANGSAAN BANDAR PUTERI JAYA, BANDAR PUTERI JAYA",5,561,324,162,68,4,558,3,0,PUTERI JAYA,UNDI BIASA
51,015/29/11,"SEKOLAH KEBANGSAAN BANDAR PUTERI JAYA, BANDAR PUTERI JAYA",6,517,347,96,73,1,517,0,0,PUTERI JAYA,UNDI BIASA
51,015/29/11,"SEKOLAH KEBANGSAAN BANDAR PUTERI JAYA, BANDAR PUTERI JAYA",7,549,304,145,99,0,548,1,0,PUTERI JAYA,UNDI BIASA
52,015/29/12,"SEKOLAH KEBANGSAAN SERI PINANG, SUNGAI PETANI",1,280,100,31,136,0,267,13,0,KAMPUNG SARUKAM,UNDI BIASA
52,015/29/12,"SEKOLAH KEBANGSAAN SERI PINANG, SUNGAI PETANI",2,322,58,94,165,0,317,4,1,KAMPUNG SARUKAM,UNDI BIASA
53,015/29/13,"SEKOLAH KEBANGSAAN PANTAI PRAI, PADANG SERAI",1,298,59,108,118,0,285,13,0,PANTAI PRAI,UNDI BIASA
53,015/29/13,"SEKOLAH KEBANGSAAN PANTAI PRAI, PADANG SERAI",2,568,127,263,173,0,563,5,0,PANTAI PRAI,UNDI BIASA
