Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHAIDIR AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUHD FAKHRUDIN B ABU HANIPAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI HAJI MOHD SHARKAR BIN HAJI SHAMSUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI MD JUSOH BIN DARUS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HJ ANUAR TAHIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang undi dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti (D),Nama Daerah Mengundi,Jenis Undi
43,088/32/10,SK JALAN BAHAGIA,4,484,1,0,76,83,323,483,1,0,JALAN BAHAGIA,UNDI BIASA
43,088/32/10,SK JALAN BAHAGIA,5,520,5,0,63,108,343,519,1,0,JALAN BAHAGIA,UNDI BIASA
44,088/32/11,SMK SERI BAHAGIA,1,274,0,1,131,64,72,268,6,0,SRI BAHAGIA,UNDI BIASA
44,088/32/11,SMK SERI BAHAGIA,2,390,2,0,132,107,146,387,3,0,SRI BAHAGIA,UNDI BIASA
44,088/32/11,SMK SERI BAHAGIA,3,365,0,0,124,111,130,365,0,0,SRI BAHAGIA,UNDI BIASA
44,088/32/11,SMK SERI BAHAGIA,4,354,1,0,93,110,148,352,2,0,SRI BAHAGIA,UNDI BIASA
44,088/32/11,SMK SERI BAHAGIA,5,376,0,1,111,105,157,374,2,0,SRI BAHAGIA,UNDI BIASA
45,088/32/12,SK BANDAR TEMERLOH,1,248,0,1,83,37,126,247,1,0,LUBUK PASU,UNDI BIASA
45,088/32/12,SK BANDAR TEMERLOH,2,313,0,0,73,69,170,312,1,0,LUBUK PASU,UNDI BIASA
45,088/32/12,SK BANDAR TEMERLOH,3,296,0,0,61,97,136,294,2,0,LUBUK PASU,UNDI BIASA
46,088/32/13,SMK SEBERANG TEMERLOH,1,291,2,1,142,101,42,288,3,0,TANJUNG BATU,UNDI BIASA
46,088/32/13,SMK SEBERANG TEMERLOH,2,497,3,0,166,224,98,491,6,0,TANJUNG BATU,UNDI BIASA
46,088/32/13,SMK SEBERANG TEMERLOH,3,478,0,0,139,207,131,477,1,0,TANJUNG BATU,UNDI BIASA
47,088/32/14,SK PAYA PULAI,1,249,0,1,134,93,12,240,9,0,PAYA PULAI,UNDI BIASA
47,088/32/14,SK PAYA PULAI,2,564,2,0,264,204,87,557,7,0,PAYA PULAI,UNDI BIASA
47,088/32/14,SK PAYA PULAI,3,564,4,1,215,265,74,559,5,0,PAYA PULAI,UNDI BIASA
47,088/32/14,SK PAYA PULAI,4,523,0,0,214,233,74,521,2,0,PAYA PULAI,UNDI BIASA
47,088/32/14,SK PAYA PULAI,5,512,1,0,185,241,83,510,2,0,PAYA PULAI,UNDI BIASA
47,088/32/14,SK PAYA PULAI,6,500,0,1,179,211,104,495,5,0,PAYA PULAI,UNDI BIASA
47,088/32/14,SK PAYA PULAI,7,502,0,0,160,226,115,501,1,0,PAYA PULAI,UNDI BIASA
47,088/32/14,SK PAYA PULAI,8,526,1,0,173,252,99,525,1,0,PAYA PULAI,UNDI BIASA
48,088/32/15,TABIKA KEMAS KAMPUNG LEBAK SEBERANG,1,373,0,0,203,96,65,364,9,0,LEBAK SEBERANG,UNDI BIASA
