Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI MOHD JOHARI BIN BAHARUM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' AMIRUDDIN HAMZAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NORHAFIZA BINTI FADZIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
25,006/05/22,"SEKOLAH JENIS KEBANGSAAN. (CINA) HWA MIN, TUNJANG",3,318,67,136,108,311,7,0,GELONG RAMBAI,UNDI BIASA
26,006/06/01,"SEKOLAH JENIS KEBANGSAAN (TAMIL) PAYA KEMUNTING, JITRA",1,284,96,131,47,274,10,0,PAYA KEMUNTING,UNDI BIASA
26,006/06/01,"SEKOLAH JENIS KEBANGSAAN (TAMIL) PAYA KEMUNTING, JITRA",2,580,168,290,115,573,7,0,PAYA KEMUNTING,UNDI BIASA
26,006/06/01,"SEKOLAH JENIS KEBANGSAAN (TAMIL) PAYA KEMUNTING, JITRA",3,478,90,281,104,475,3,0,PAYA KEMUNTING,UNDI BIASA
27,006/06/02,"SEKOLAH KEBANGSAAN BINJAL, JITRA",1,294,126,81,79,286,8,0,KAMPUNG KULUANG,UNDI BIASA
27,006/06/02,"SEKOLAH KEBANGSAAN BINJAL, JITRA",2,314,87,130,90,307,7,0,KAMPUNG KULUANG,UNDI BIASA
27,006/06/02,"SEKOLAH KEBANGSAAN BINJAL, JITRA",3,281,53,125,102,280,1,0,KAMPUNG KULUANG,UNDI BIASA
28,006/06/03,"SEKOLAH KEBANGSAAN MALAU, JITRA",1,311,130,96,70,296,15,0,MALAU,UNDI BIASA
28,006/06/03,"SEKOLAH KEBANGSAAN MALAU, JITRA",2,318,107,138,68,313,5,0,MALAU,UNDI BIASA
28,006/06/03,"SEKOLAH KEBANGSAAN MALAU, JITRA",3,310,83,161,60,304,6,0,MALAU,UNDI BIASA
29,006/06/04,"SEKOLAH KEBANGSAAN MALAU, JITRA",4,311,147,103,57,307,4,0,PADANG PANJANG,UNDI BIASA
29,006/06/04,"SEKOLAH KEBANGSAAN MALAU, JITRA",5,480,159,201,117,477,3,0,PADANG PANJANG,UNDI BIASA
29,006/06/04,"SEKOLAH KEBANGSAAN MALAU, JITRA",6,427,93,218,112,423,4,0,PADANG PANJANG,UNDI BIASA
30,006/06/05,"SEKOLAH KEBANGSAAN PENGHULU HJ DARUS, WANG TEPUS",1,317,158,85,68,311,6,0,WANG TEPUS,UNDI BIASA
30,006/06/05,"SEKOLAH KEBANGSAAN PENGHULU HJ DARUS, WANG TEPUS",2,395,147,161,83,391,4,0,WANG TEPUS,UNDI BIASA
30,006/06/05,"SEKOLAH KEBANGSAAN PENGHULU HJ DARUS, WANG TEPUS",3,352,93,188,69,350,2,0,WANG TEPUS,UNDI BIASA
31,006/06/06,"SEKOLAH KEBANGSAAN JITRA, JITRA",1,268,70,169,21,260,8,0,TAMAN JITRA JAYA,UNDI BIASA
31,006/06/06,"SEKOLAH KEBANGSAAN JITRA, JITRA",2,585,85,434,60,579,6,0,TAMAN JITRA JAYA,UNDI BIASA
31,006/06/06,"SEKOLAH KEBANGSAAN JITRA, JITRA",3,506,55,379,68,502,4,0,TAMAN JITRA JAYA,UNDI BIASA
32,006/06/07,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, JITRA",1,278,84,141,52,277,1,0,TAMAN RASA SAYANG,UNDI BIASA
32,006/06/07,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, JITRA",2,461,80,312,68,460,1,0,TAMAN RASA SAYANG,UNDI BIASA
32,006/06/07,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, JITRA",3,428,72,282,74,428,0,0,TAMAN RASA SAYANG,UNDI BIASA
