Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ SHAHRUL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SITARUNISAH BINTI AB KADIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI HASAN BIN ARIFIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
29,091/42/02,SMK ROMPIN,1,212,25,63,112,200,12,0,KUALA ROMPIN,UNDI BIASA
29,091/42/02,SMK ROMPIN,2,285,68,98,116,282,3,0,KUALA ROMPIN,UNDI BIASA
29,091/42/02,SMK ROMPIN,3,253,74,91,86,251,2,0,KUALA ROMPIN,UNDI BIASA
30,091/42/03,SK ROMPIN,1,270,70,58,135,263,7,0,BANDAR BARU ROMPIN,UNDI BIASA
30,091/42/03,SK ROMPIN,2,493,140,132,216,488,5,0,BANDAR BARU ROMPIN,UNDI BIASA
30,091/42/03,SK ROMPIN,3,462,130,151,177,458,4,0,BANDAR BARU ROMPIN,UNDI BIASA
30,091/42/03,SK ROMPIN,4,436,139,135,159,433,3,0,BANDAR BARU ROMPIN,UNDI BIASA
30,091/42/03,SK ROMPIN,5,444,148,160,131,439,5,0,BANDAR BARU ROMPIN,UNDI BIASA
31,091/42/04,SK PONTIAN,1,283,48,26,202,276,7,0,PONTIAN,UNDI BIASA
31,091/42/04,SK PONTIAN,2,550,103,87,350,540,10,0,PONTIAN,UNDI BIASA
31,091/42/04,SK PONTIAN,3,480,128,94,252,474,6,0,PONTIAN,UNDI BIASA
31,091/42/04,SK PONTIAN,4,457,104,131,217,452,5,0,PONTIAN,UNDI BIASA
32,091/42/05,SK LKTP SELENDANG 1,1,304,105,21,171,297,7,0,FELDA SELENDANG,UNDI BIASA
32,091/42/05,SK LKTP SELENDANG 1,2,455,144,54,253,451,4,0,FELDA SELENDANG,UNDI BIASA
