Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHAIRUDDIN ABU HASSAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABD. ALIM SHAPIE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATUK SERI HAJI AHMAD HAMZAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
28,139/26/04,SEKOLAH MENENGAH ARAB ASSAIYIDAH KHADIJAH,2,650,222,157,263,642,4,4,SERKAM DARAT ,UNDI BIASA
28,139/26/04,SEKOLAH MENENGAH ARAB ASSAIYIDAH KHADIJAH,3,611,253,128,226,607,4,0,SERKAM DARAT ,UNDI BIASA
28,139/26/04,SEKOLAH MENENGAH ARAB ASSAIYIDAH KHADIJAH,4,587,235,152,197,584,3,0,SERKAM DARAT ,UNDI BIASA
29,139/26/05,SEKOLAH KEBANGSAAN PULAI,1,305,43,67,191,301,4,0,PULAI ,UNDI BIASA
29,139/26/05,SEKOLAH KEBANGSAAN PULAI,2,584,97,198,285,580,4,0,PULAI ,UNDI BIASA
29,139/26/05,SEKOLAH KEBANGSAAN PULAI,3,541,161,147,231,539,2,0,PULAI ,UNDI BIASA
29,139/26/05,SEKOLAH KEBANGSAAN PULAI,4,531,170,148,209,527,4,0,PULAI ,UNDI BIASA
30,139/26/06,SEKOLAH KEBANGSAAN SERKAM,1,288,48,88,139,275,13,0,SERKAM PANTAI ,UNDI BIASA
30,139/26/06,SEKOLAH KEBANGSAAN SERKAM,2,476,80,212,178,470,5,1,SERKAM PANTAI ,UNDI BIASA
30,139/26/06,SEKOLAH KEBANGSAAN SERKAM,3,448,103,189,155,447,1,0,SERKAM PANTAI ,UNDI BIASA
30,139/26/06,SEKOLAH KEBANGSAAN SERKAM,4,414,111,177,125,413,1,0,SERKAM PANTAI ,UNDI BIASA
31,139/26/07,SEKOLAH KEBANGSAAN TEDONG,1,302,37,21,232,290,12,0,TEDONG ,UNDI BIASA
31,139/26/07,SEKOLAH KEBANGSAAN TEDONG,2,621,114,80,422,616,5,0,TEDONG ,UNDI BIASA
31,139/26/07,SEKOLAH KEBANGSAAN TEDONG,3,596,167,90,336,593,3,0,TEDONG ,UNDI BIASA
31,139/26/07,SEKOLAH KEBANGSAAN TEDONG,4,591,202,56,326,584,6,1,TEDONG ,UNDI BIASA
32,139/27/01,SEKOLAH JENIS KEBANGSAAN (CINA) JASIN LALANG,1,311,154,17,127,298,13,0,AYER MERBAU ,UNDI BIASA
32,139/27/01,SEKOLAH JENIS KEBANGSAAN (CINA) JASIN LALANG,2,331,181,38,109,328,3,0,AYER MERBAU ,UNDI BIASA
