Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AMINUR SHAFIQ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) YOO WEI HOW,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHAN MING KAI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
42,009/14/03,"SEKOLAH KEBANGSAAN HJ IDRIS TAJAR, LANGGAR",2,343,197,90,55,342,1,0,TITI HAJI IDRIS,UNDI BIASA
42,009/14/03,"SEKOLAH KEBANGSAAN HJ IDRIS TAJAR, LANGGAR",3,314,180,72,60,312,2,0,TITI HAJI IDRIS,UNDI BIASA
43,009/14/04,"SEKOLAH KEBANGSAAN DARUL HIKMAH, JALAN DATUK KUMBAR",1,290,149,89,22,260,30,0,TOK SIBIL,UNDI BIASA
43,009/14/04,"SEKOLAH KEBANGSAAN DARUL HIKMAH, JALAN DATUK KUMBAR",2,457,281,122,47,450,7,0,TOK SIBIL,UNDI BIASA
43,009/14/04,"SEKOLAH KEBANGSAAN DARUL HIKMAH, JALAN DATUK KUMBAR",3,422,269,98,45,412,10,0,TOK SIBIL,UNDI BIASA
43,009/14/04,"SEKOLAH KEBANGSAAN DARUL HIKMAH, JALAN DATUK KUMBAR",4,411,236,98,69,403,8,0,TOK SIBIL,UNDI BIASA
44,009/14/05,"SEKOLAH MENENGAH KEBANGSAAN TAJAR, JALAN DATUK KUMBAR",1,292,116,109,38,263,29,0,ALOR BINJAL,UNDI BIASA
44,009/14/05,"SEKOLAH MENENGAH KEBANGSAAN TAJAR, JALAN DATUK KUMBAR",2,379,206,102,69,377,2,0,ALOR BINJAL,UNDI BIASA
44,009/14/05,"SEKOLAH MENENGAH KEBANGSAAN TAJAR, JALAN DATUK KUMBAR",3,351,188,84,76,348,3,0,ALOR BINJAL,UNDI BIASA
45,009/14/06,"SEKOLAH KEBANGSAAN HAJI WAHAB, KAMPUNG TOK KELING",1,304,157,110,22,289,15,0,TOK KELING,UNDI BIASA
45,009/14/06,"SEKOLAH KEBANGSAAN HAJI WAHAB, KAMPUNG TOK KELING",2,610,377,156,68,601,9,0,TOK KELING,UNDI BIASA
45,009/14/06,"SEKOLAH KEBANGSAAN HAJI WAHAB, KAMPUNG TOK KELING",3,557,354,109,91,554,3,0,TOK KELING,UNDI BIASA
46,009/14/07,"SEKOLAH KEBANGSAAN LAHAR BUDI, ALOR SETAR",1,280,126,69,79,274,0,6,LAHAR BUDI,UNDI BIASA
46,009/14/07,"SEKOLAH KEBANGSAAN LAHAR BUDI, ALOR SETAR",2,421,217,82,117,416,5,0,LAHAR BUDI,UNDI BIASA
47,009/14/08,"SEKOLAH KEBANGSAAN ALOR MENGKUDU, ALOR SETAR",1,305,93,154,47,294,11,0,ALOR MENGKUDU,UNDI BIASA
47,009/14/08,"SEKOLAH KEBANGSAAN ALOR MENGKUDU, ALOR SETAR",2,462,172,186,94,452,10,0,ALOR MENGKUDU,UNDI BIASA
47,009/14/08,"SEKOLAH KEBANGSAAN ALOR MENGKUDU, ALOR SETAR",3,448,175,129,131,435,13,0,ALOR MENGKUDU,UNDI BIASA
47,009/14/08,"SEKOLAH KEBANGSAAN ALOR MENGKUDU, ALOR SETAR",4,426,173,112,134,419,7,0,ALOR MENGKUDU,UNDI BIASA
48,009/14/09,"SEKOLAH MENENGAH KEBANGSAAN SIMPANG KUALA, ALOR SETAR",1,289,37,92,151,280,9,0,TAMAN SAGA,UNDI BIASA
48,009/14/09,"SEKOLAH MENENGAH KEBANGSAAN SIMPANG KUALA, ALOR SETAR",2,588,107,104,373,584,4,0,TAMAN SAGA,UNDI BIASA
48,009/14/09,"SEKOLAH MENENGAH KEBANGSAAN SIMPANG KUALA, ALOR SETAR",3,577,102,70,402,574,3,0,TAMAN SAGA,UNDI BIASA
48,009/14/09,"SEKOLAH MENENGAH KEBANGSAAN SIMPANG KUALA, ALOR SETAR",4,528,77,68,380,525,3,0,TAMAN SAGA,UNDI BIASA
48,009/14/09,"SEKOLAH MENENGAH KEBANGSAAN SIMPANG KUALA, ALOR SETAR",5,502,72,38,389,499,3,0,TAMAN SAGA,UNDI BIASA
48,009/14/09,"SEKOLAH MENENGAH KEBANGSAAN SIMPANG KUALA, ALOR SETAR",6,527,108,57,361,526,1,0,TAMAN SAGA,UNDI BIASA
49,009/14/10,"SEKOLAH MENENGAH KEBANGSAAN CONVENT, JALAN TANJUNG BENDAHARA",1,312,58,61,189,308,4,0,TAMAN SULTAN ABDUL HALIM,UNDI BIASA
49,009/14/10,"SEKOLAH MENENGAH KEBANGSAAN CONVENT, JALAN TANJUNG BENDAHARA",2,485,90,78,315,483,2,0,TAMAN SULTAN ABDUL HALIM,UNDI BIASA
49,009/14/10,"SEKOLAH MENENGAH KEBANGSAAN CONVENT, JALAN TANJUNG BENDAHARA",3,434,83,49,302,434,0,0,TAMAN SULTAN ABDUL HALIM,UNDI BIASA
