Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI RAFIEI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HASAN BIN MALEK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) EDDIN SYAZLEE SHITH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
37,129/17/09,SEKOLAH KEBANGSAAN SENALING,3.0,302,29,114,159,302,0,0,SENALING ,UNDI BIASA
38,129/18/01,SEKOLAH KEBANGSAAN AMPANG TINGGI,1.0,275,26,186,51,263,12,0,AMPANG TINGGI ,UNDI BIASA
38,129/18/01,SEKOLAH KEBANGSAAN AMPANG TINGGI,2.0,422,53,211,153,417,5,0,AMPANG TINGGI ,UNDI BIASA
38,129/18/01,SEKOLAH KEBANGSAAN AMPANG TINGGI,3.0,403,55,150,196,401,2,0,AMPANG TINGGI ,UNDI BIASA
39,129/18/02,SEKOLAH KEBANGSAAN KAMPONG PARIT,1.0,272,22,158,87,267,5,0,KAMPONG PARIT ,UNDI BIASA
39,129/18/02,SEKOLAH KEBANGSAAN KAMPONG PARIT,2.0,260,14,119,124,257,3,0,KAMPONG PARIT ,UNDI BIASA
39,129/18/02,SEKOLAH KEBANGSAAN KAMPONG PARIT,3.0,247,32,105,108,245,2,0,KAMPONG PARIT ,UNDI BIASA
40,129/18/03,SEKOLAH KEBANGSAAN KUALA PILAH,1.0,282,14,111,155,280,2,0,PEKAN LAMA ,UNDI BIASA
40,129/18/03,SEKOLAH KEBANGSAAN KUALA PILAH,2.0,397,16,105,275,396,1,0,PEKAN LAMA ,UNDI BIASA
40,129/18/03,SEKOLAH KEBANGSAAN KUALA PILAH,3.0,387,22,78,285,385,2,0,PEKAN LAMA ,UNDI BIASA
41,129/18/04,SEKOLAH KEBANGSAAN KUALA PILAH,4.0,231,9,45,174,228,3,0,TAMAN BUNGA ,UNDI BIASA
41,129/18/04,SEKOLAH KEBANGSAAN KUALA PILAH,5.0,288,17,47,222,286,2,0,TAMAN BUNGA ,UNDI BIASA
42,129/18/05,BALAI RAYA KAMPUNG MELANG,1.0,101,6,38,53,97,4,0,KAMPONG GEMUROH ,UNDI BIASA
43,129/18/06,KOLEJ KEJURURAWATAN KUALA PILAH,1.0,239,12,106,120,238,1,0,KAMPONG JAWA ,UNDI BIASA
43,129/18/06,KOLEJ KEJURURAWATAN KUALA PILAH,2.0,543,26,198,311,535,8,0,KAMPONG JAWA ,UNDI BIASA
43,129/18/06,KOLEJ KEJURURAWATAN KUALA PILAH,3.0,547,52,157,333,542,5,0,KAMPONG JAWA ,UNDI BIASA
43,129/18/06,KOLEJ KEJURURAWATAN KUALA PILAH,4.0,516,31,127,356,514,2,0,KAMPONG JAWA ,UNDI BIASA
43,129/18/06,KOLEJ KEJURURAWATAN KUALA PILAH,5.0,512,31,111,365,507,5,0,KAMPONG JAWA ,UNDI BIASA
43,129/18/06,KOLEJ KEJURURAWATAN KUALA PILAH,6.0,525,46,139,337,522,3,0,KAMPONG JAWA ,UNDI BIASA
44,129/18/07,SEKOLAH MENENGAH KEBANGSAAN CHUNG HUA,1.0,336,4,26,304,334,2,0,JALAN YAM TUAN ,UNDI BIASA
45,129/18/08,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA KUALA PILAH,1.0,87,11,25,50,86,1,0,TENGKU BESAR ,UNDI BIASA
46,129/18/09,SEKOLAH MENENGAH KEBANGSAAN TUANKU MUHAMMAD,1.0,286,16,120,145,281,5,0,BUKIT TEMENSU ,UNDI BIASA
46,129/18/09,SEKOLAH MENENGAH KEBANGSAAN TUANKU MUHAMMAD,2.0,364,31,115,216,362,2,0,BUKIT TEMENSU ,UNDI BIASA
47,129/18/10,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA SENALING,1.0,278,14,172,86,272,6,0,BATANG PILAH ,UNDI BIASA
47,129/18/10,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA SENALING,2.0,585,44,222,307,573,11,1,BATANG PILAH ,UNDI BIASA
47,129/18/10,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA SENALING,3.0,515,60,147,306,513,2,0,BATANG PILAH ,UNDI BIASA
47,129/18/10,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA SENALING,4.0,523,60,146,310,516,7,0,BATANG PILAH ,UNDI BIASA
48,129/18/11,SEKOLAH KEBANGSAAN TANAH MELINTANG,1.0,421,47,215,151,413,8,0,KAMPONG GACHONG ,UNDI BIASA
49,129/18/12,SEKOLAH KEBANGSAAN SERI PILAH,1.0,292,67,141,71,279,13,0,SERI PILAH ,UNDI BIASA
49,129/18/12,SEKOLAH KEBANGSAAN SERI PILAH,2.0,447,138,145,159,442,5,0,SERI PILAH ,UNDI BIASA
50,129/19/01,SEKOLAH KEBANGSAAN KEPIS,1.0,289,17,208,54,279,10,0,KAMPONG KEPIS ,UNDI BIASA
50,129/19/01,SEKOLAH KEBANGSAAN KEPIS,2.0,411,27,214,165,406,5,0,KAMPONG KEPIS ,UNDI BIASA
51,129/19/02,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU KEPIS,1.0,383,27,149,189,365,18,0,MALAN BARU ,UNDI BIASA
